Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-LV-en_2020-12-03-PT13-2164	ParlaMint-LV_2020-12-03-PT13-2164-U1	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2020-12-03	2020-12-03	Unicameralism	13. sasaukums	-	Regulārā	2020-12-03	-	COVID	English	Chairperson	MP	notMinister	JV	JAUNĀ VIENOTĪBA	Coalition	Centre-right	Lībiņa-EgnereInese	Lībiņa-Egnere, Inese	F	-	
ParlaMint-LV-en_2020-12-03-PT13-2164	ParlaMint-LV_2020-12-03-PT13-2164-U2	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2020-12-03	2020-12-03	Unicameralism	13. sasaukums	-	Regulārā	2020-12-03	-	COVID	English	Regular	MP	notMinister	KPV-LV	Kam pieder valsts?	Coalition	Centre-right to right	GobzemsAldis	Gobzems, Aldis	M	-	
ParlaMint-LV-en_2020-12-03-PT13-2164	ParlaMint-LV_2020-12-03-PT13-2164-U3	Latvian parliamentary corpus ParlaMint-LV-en, 13th Term, 2020-12-03	2020-12-03	Unicameralism	13. sasaukums	-	Regulārā	2020-12-03	-	COVID	English	Chairperson	MP	notMinister	JV	JAUNĀ VIENOTĪBA	Coalition	Centre-right	Lībiņa-EgnereInese	Lībiņa-Egnere, Inese	F	-	
