Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-HR-en_2020-12-18-0	ParlaMint-HR_2020-12-18-0.u6671	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 3	2020-12-18	Unicameralism	10. mandat	-	Zasedanje 3	2020-12-18	-	COVID	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	JandrokovićGordan	Jandroković, Gordan	M	1967	
ParlaMint-HR-en_2020-12-18-0	ParlaMint-HR_2020-12-18-0.u6672	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 3	2020-12-18	Unicameralism	10. mandat	-	Zasedanje 3	2020-12-18	-	COVID	English	Regular	MP	notMinister	MOST	Most nezavisnih lista	Opposition	Centre-right to right	GrmojaNikola	Grmoja, Nikola	M	1981	
ParlaMint-HR-en_2020-12-18-0	ParlaMint-HR_2020-12-18-0.u6673	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 3	2020-12-18	Unicameralism	10. mandat	-	Zasedanje 3	2020-12-18	-	COVID	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	JandrokovićGordan	Jandroković, Gordan	M	1967	
ParlaMint-HR-en_2020-12-18-0	ParlaMint-HR_2020-12-18-0.u6674	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 3	2020-12-18	Unicameralism	10. mandat	-	Zasedanje 3	2020-12-18	-	COVID	English	Regular	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	GrbinPeđa	Grbin, Peđa	M	1979	
ParlaMint-HR-en_2020-12-18-0	ParlaMint-HR_2020-12-18-0.u6675	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 3	2020-12-18	Unicameralism	10. mandat	-	Zasedanje 3	2020-12-18	-	COVID	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	JandrokovićGordan	Jandroković, Gordan	M	1967	
ParlaMint-HR-en_2020-12-18-0	ParlaMint-HR_2020-12-18-0.u6676	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 3	2020-12-18	Unicameralism	10. mandat	-	Zasedanje 3	2020-12-18	-	COVID	English	Regular	MP	notMinister	SDP	Socijaldemokratska partija Hrvatske	Coalition	Centre-left	BaukArsen	Bauk, Arsen	M	1973	
ParlaMint-HR-en_2020-12-18-0	ParlaMint-HR_2020-12-18-0.u6677	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 3	2020-12-18	Unicameralism	10. mandat	-	Zasedanje 3	2020-12-18	-	COVID	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	JandrokovićGordan	Jandroković, Gordan	M	1967	
ParlaMint-HR-en_2020-12-18-0	ParlaMint-HR_2020-12-18-0.u6678	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 3	2020-12-18	Unicameralism	10. mandat	-	Zasedanje 3	2020-12-18	-	COVID	English	Regular	MP	notMinister	MOST	Most nezavisnih lista	Opposition	Centre-right to right	GrmojaNikola	Grmoja, Nikola	M	1981	
ParlaMint-HR-en_2020-12-18-0	ParlaMint-HR_2020-12-18-0.u6679	Minutes of the National Assembly of the Republic of Croatia, Term 10, Session 3	2020-12-18	Unicameralism	10. mandat	-	Zasedanje 3	2020-12-18	-	COVID	English	Chairperson	MP	notMinister	HDZ	Hrvatska demokratska zajednica	Coalition	Centre-right	JandrokovićGordan	Jandroković, Gordan	M	1967	
