Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-PT-en_2016-03-09	ParlaMint-PT_2016-03-09.u1	Minutes of the Assembly of the Portuguese Republic, Session 1, Number 41	2016-03-09	Unicameralism	Série I - XIII Legislatura	Sessão 1	Número 41	09.03.2016	-	Reference	English	Chairperson	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	Coalition	Centre-left	EduardoLuísBarretoFerroRodrigues	Luís Barreto Ferro Rodrigues, Eduardo	M	1949	
ParlaMint-PT-en_2016-03-09	ParlaMint-PT_2016-03-09.u2	Minutes of the Assembly of the Portuguese Republic, Session 1, Number 41	2016-03-09	Unicameralism	Série I - XIII Legislatura	Sessão 1	Número 41	09.03.2016	-	Reference	English	Regular	MP	notMinister	GP-PSD	Grupo Parlamentar do Partido Social Democrata	Opposition	Centre-right	DuarteRogérioMatosVenturaPacheco	Rogério Matos Ventura Pacheco, Duarte	M	1965	
ParlaMint-PT-en_2016-03-09	ParlaMint-PT_2016-03-09.u3	Minutes of the Assembly of the Portuguese Republic, Session 1, Number 41	2016-03-09	Unicameralism	Série I - XIII Legislatura	Sessão 1	Número 41	09.03.2016	-	Reference	English	Chairperson	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	Coalition	Centre-left	EduardoLuísBarretoFerroRodrigues	Luís Barreto Ferro Rodrigues, Eduardo	M	1949	
ParlaMint-PT-en_2016-03-09	ParlaMint-PT_2016-03-09.u4	Minutes of the Assembly of the Portuguese Republic, Session 1, Number 41	2016-03-09	Unicameralism	Série I - XIII Legislatura	Sessão 1	Número 41	09.03.2016	-	Reference	English	Regular	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	Coalition	Centre-left	IdáliaMariaMarquesSalvadorSerrão	Maria Marques Salvador Serrão, Idália	F	1964	
ParlaMint-PT-en_2016-03-09	ParlaMint-PT_2016-03-09.u5	Minutes of the Assembly of the Portuguese Republic, Session 1, Number 41	2016-03-09	Unicameralism	Série I - XIII Legislatura	Sessão 1	Número 41	09.03.2016	-	Reference	English	Chairperson	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	Coalition	Centre-left	EduardoLuísBarretoFerroRodrigues	Luís Barreto Ferro Rodrigues, Eduardo	M	1949	
ParlaMint-PT-en_2016-03-09	ParlaMint-PT_2016-03-09.u6	Minutes of the Assembly of the Portuguese Republic, Session 1, Number 41	2016-03-09	Unicameralism	Série I - XIII Legislatura	Sessão 1	Número 41	09.03.2016	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	MarceloNunoDuarteRebelodeSousa	Nuno Duarte Rebelo de Sousa, Marcelo	M	1948	
ParlaMint-PT-en_2016-03-09	ParlaMint-PT_2016-03-09.u7	Minutes of the Assembly of the Portuguese Republic, Session 1, Number 41	2016-03-09	Unicameralism	Série I - XIII Legislatura	Sessão 1	Número 41	09.03.2016	-	Reference	English	Chairperson	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	Coalition	Centre-left	EduardoLuísBarretoFerroRodrigues	Luís Barreto Ferro Rodrigues, Eduardo	M	1949	
