Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-PT-en_2016-11-30	ParlaMint-PT_2016-11-30.u1	Minutes of the Assembly of the Portuguese Republic, Session 2, Number 25	2016-11-30	Unicameralism	Série I - XIII Legislatura	Sessão 2	Número 25	30.11.2016	-	Reference	English	Chairperson	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	Coalition	Centre-left	EduardoLuísBarretoFerroRodrigues	Luís Barreto Ferro Rodrigues, Eduardo	M	1949	
ParlaMint-PT-en_2016-11-30	ParlaMint-PT_2016-11-30.u2	Minutes of the Assembly of the Portuguese Republic, Session 2, Number 25	2016-11-30	Unicameralism	Série I - XIII Legislatura	Sessão 2	Número 25	30.11.2016	-	Reference	English	Chairperson	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	Coalition	Centre-left	EduardoLuísBarretoFerroRodrigues	Luís Barreto Ferro Rodrigues, Eduardo	M	1949	
ParlaMint-PT-en_2016-11-30	ParlaMint-PT_2016-11-30.u3	Minutes of the Assembly of the Portuguese Republic, Session 2, Number 25	2016-11-30	Unicameralism	Série I - XIII Legislatura	Sessão 2	Número 25	30.11.2016	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	FelipeJuanPabloAlfonsodeTodoslosSantosdeBorbónyGrecia	Juan Pablo Alfonso de Todos los Santos de Borbón y Grecia, Felipe	M	1968	
ParlaMint-PT-en_2016-11-30	ParlaMint-PT_2016-11-30.u4	Minutes of the Assembly of the Portuguese Republic, Session 2, Number 25	2016-11-30	Unicameralism	Série I - XIII Legislatura	Sessão 2	Número 25	30.11.2016	-	Reference	English	Chairperson	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	Coalition	Centre-left	EduardoLuísBarretoFerroRodrigues	Luís Barreto Ferro Rodrigues, Eduardo	M	1949	
