Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-PT-en_2018-11-22	ParlaMint-PT_2018-11-22.u1	Minutes of the Assembly of the Portuguese Republic, Session 4, Number 20	2018-11-22	Unicameralism	Série I - XIII Legislatura	Sessão 4	Número 20	22.11.2018	-	Reference	English	Chairperson	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	Coalition	Centre-left	EduardoLuísBarretoFerroRodrigues	Luís Barreto Ferro Rodrigues, Eduardo	M	1949	
ParlaMint-PT-en_2018-11-22	ParlaMint-PT_2018-11-22.u2	Minutes of the Assembly of the Portuguese Republic, Session 4, Number 20	2018-11-22	Unicameralism	Série I - XIII Legislatura	Sessão 4	Número 20	22.11.2018	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	JoãoManuelGonçalvesLourenço	Manuel Gonçalves Lourenço, João	M	1954	
ParlaMint-PT-en_2018-11-22	ParlaMint-PT_2018-11-22.u3	Minutes of the Assembly of the Portuguese Republic, Session 4, Number 20	2018-11-22	Unicameralism	Série I - XIII Legislatura	Sessão 4	Número 20	22.11.2018	-	Reference	English	Chairperson	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	Coalition	Centre-left	EduardoLuísBarretoFerroRodrigues	Luís Barreto Ferro Rodrigues, Eduardo	M	1949	
