Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2013-06-13-024-XXIV-NRSITZ-00208	ParlaMint-AT_2013-06-13-024-XXIV-NRSITZ-00208_d7e446	Sitting Number 208, Legislative period XXIV, Thursday, 13. June 2013	2013-06-13	Lower house	Legislative period XXIV	-	-	Sitting 208	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
ParlaMint-AT-en_2013-06-13-024-XXIV-NRSITZ-00208	ParlaMint-AT_2013-06-13-024-XXIV-NRSITZ-00208_d7e477	Sitting Number 208, Legislative period XXIV, Thursday, 13. June 2013	2013-06-13	Lower house	Legislative period XXIV	-	-	Sitting 208	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
ParlaMint-AT-en_2013-06-13-024-XXIV-NRSITZ-00208	ParlaMint-AT_2013-06-13-024-XXIV-NRSITZ-00208_d7e809	Sitting Number 208, Legislative period XXIV, Thursday, 13. June 2013	2013-06-13	Lower house	Legislative period XXIV	-	-	Sitting 208	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
