Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2013-03-21-024-XXIV-NRSITZ-00195	ParlaMint-AT_2013-03-21-024-XXIV-NRSITZ-00195_d7e361	Sitting Number 195, Legislative period XXIV, Thursday, 21. March 2013	2013-03-21	Lower house	Legislative period XXIV	-	-	Sitting 195	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2013-03-21-024-XXIV-NRSITZ-00195	ParlaMint-AT_2013-03-21-024-XXIV-NRSITZ-00195_d7e398	Sitting Number 195, Legislative period XXIV, Thursday, 21. March 2013	2013-03-21	Lower house	Legislative period XXIV	-	-	Sitting 195	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2013-03-21-024-XXIV-NRSITZ-00195	ParlaMint-AT_2013-03-21-024-XXIV-NRSITZ-00195_d7e547	Sitting Number 195, Legislative period XXIV, Thursday, 21. March 2013	2013-03-21	Lower house	Legislative period XXIV	-	-	Sitting 195	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
