Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2013-11-20-025-XXV-NRSITZ-00004	ParlaMint-AT_2013-11-20-025-XXV-NRSITZ-00004_d7e333	Sitting Number 4, Legislative period XXV, Wednesday, 20. November 2013	2013-11-20	Lower house	Legislative period XXV	-	-	Sitting 4	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2013-11-20-025-XXV-NRSITZ-00004	ParlaMint-AT_2013-11-20-025-XXV-NRSITZ-00004_d7e364	Sitting Number 4, Legislative period XXV, Wednesday, 20. November 2013	2013-11-20	Lower house	Legislative period XXV	-	-	Sitting 4	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2013-11-20-025-XXV-NRSITZ-00004	ParlaMint-AT_2013-11-20-025-XXV-NRSITZ-00004_d7e836	Sitting Number 4, Legislative period XXV, Wednesday, 20. November 2013	2013-11-20	Lower house	Legislative period XXV	-	-	Sitting 4	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
