Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2013-05-23-024-XXIV-NRSITZ-00205	ParlaMint-AT_2013-05-23-024-XXIV-NRSITZ-00205_d7e371	Sitting Number 205, Legislative period XXIV, Thursday, 23. May 2013	2013-05-23	Lower house	Legislative period XXIV	-	-	Sitting 205	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2013-05-23-024-XXIV-NRSITZ-00205	ParlaMint-AT_2013-05-23-024-XXIV-NRSITZ-00205_d7e402	Sitting Number 205, Legislative period XXIV, Thursday, 23. May 2013	2013-05-23	Lower house	Legislative period XXIV	-	-	Sitting 205	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2013-05-23-024-XXIV-NRSITZ-00205	ParlaMint-AT_2013-05-23-024-XXIV-NRSITZ-00205_d7e647	Sitting Number 205, Legislative period XXIV, Thursday, 23. May 2013	2013-05-23	Lower house	Legislative period XXIV	-	-	Sitting 205	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
