Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2013-12-17-025-XXV-NRSITZ-00008	ParlaMint-AT_2013-12-17-025-XXV-NRSITZ-00008_d7e352	Sitting Number 8, Legislative period XXV, Tuesday, 17. December 2013	2013-12-17	Lower house	Legislative period XXV	-	-	Sitting 8	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2013-12-17-025-XXV-NRSITZ-00008	ParlaMint-AT_2013-12-17-025-XXV-NRSITZ-00008_d7e386	Sitting Number 8, Legislative period XXV, Tuesday, 17. December 2013	2013-12-17	Lower house	Legislative period XXV	-	-	Sitting 8	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2013-12-17-025-XXV-NRSITZ-00008	ParlaMint-AT_2013-12-17-025-XXV-NRSITZ-00008_d7e1155	Sitting Number 8, Legislative period XXV, Tuesday, 17. December 2013	2013-12-17	Lower house	Legislative period XXV	-	-	Sitting 8	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2013-12-17-025-XXV-NRSITZ-00008	ParlaMint-AT_2013-12-17-025-XXV-NRSITZ-00008_d7e1182	Sitting Number 8, Legislative period XXV, Tuesday, 17. December 2013	2013-12-17	Lower house	Legislative period XXV	-	-	Sitting 8	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
