Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2013-06-27-024-XXIV-NRSITZ-00212	ParlaMint-AT_2013-06-27-024-XXIV-NRSITZ-00212_d7e473	Sitting Number 212, Legislative period XXIV, Thursday, 27. June 2013	2013-06-27	Lower house	Legislative period XXIV	-	-	Sitting 212	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2013-06-27-024-XXIV-NRSITZ-00212	ParlaMint-AT_2013-06-27-024-XXIV-NRSITZ-00212_d7e504	Sitting Number 212, Legislative period XXIV, Thursday, 27. June 2013	2013-06-27	Lower house	Legislative period XXIV	-	-	Sitting 212	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2013-06-27-024-XXIV-NRSITZ-00212	ParlaMint-AT_2013-06-27-024-XXIV-NRSITZ-00212_d7e599	Sitting Number 212, Legislative period XXIV, Thursday, 27. June 2013	2013-06-27	Lower house	Legislative period XXIV	-	-	Sitting 212	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
