Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2013-06-14-024-XXIV-NRSITZ-00210	ParlaMint-AT_2013-06-14-024-XXIV-NRSITZ-00210_d7e389	Sitting Number 210, Legislative period XXIV, Friday, 14. June 2013	2013-06-14	Lower house	Legislative period XXIV	-	-	Sitting 210	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2013-06-14-024-XXIV-NRSITZ-00210	ParlaMint-AT_2013-06-14-024-XXIV-NRSITZ-00210_d7e420	Sitting Number 210, Legislative period XXIV, Friday, 14. June 2013	2013-06-14	Lower house	Legislative period XXIV	-	-	Sitting 210	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2013-06-14-024-XXIV-NRSITZ-00210	ParlaMint-AT_2013-06-14-024-XXIV-NRSITZ-00210_d7e689	Sitting Number 210, Legislative period XXIV, Friday, 14. June 2013	2013-06-14	Lower house	Legislative period XXIV	-	-	Sitting 210	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
