Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2013-11-20-025-XXV-NRSITZ-00005	ParlaMint-AT_2013-11-20-025-XXV-NRSITZ-00005_d7e435	Sitting Number 5, Legislative period XXV, Wednesday, 20. November 2013	2013-11-20	Lower house	Legislative period XXV	-	-	Sitting 5	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2013-11-20-025-XXV-NRSITZ-00005	ParlaMint-AT_2013-11-20-025-XXV-NRSITZ-00005_d7e466	Sitting Number 5, Legislative period XXV, Wednesday, 20. November 2013	2013-11-20	Lower house	Legislative period XXV	-	-	Sitting 5	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2013-11-20-025-XXV-NRSITZ-00005	ParlaMint-AT_2013-11-20-025-XXV-NRSITZ-00005_d7e523	Sitting Number 5, Legislative period XXV, Wednesday, 20. November 2013	2013-11-20	Lower house	Legislative period XXV	-	-	Sitting 5	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2013-11-20-025-XXV-NRSITZ-00005	ParlaMint-AT_2013-11-20-025-XXV-NRSITZ-00005_d7e547	Sitting Number 5, Legislative period XXV, Wednesday, 20. November 2013	2013-11-20	Lower house	Legislative period XXV	-	-	Sitting 5	-	Reference	English	Regular	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	-	Centre-left	PAD_05375	Pendl, Otto	M	1951	
ParlaMint-AT-en_2013-11-20-025-XXV-NRSITZ-00005	ParlaMint-AT_2013-11-20-025-XXV-NRSITZ-00005_d7e583	Sitting Number 5, Legislative period XXV, Wednesday, 20. November 2013	2013-11-20	Lower house	Legislative period XXV	-	-	Sitting 5	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2013-11-20-025-XXV-NRSITZ-00005	ParlaMint-AT_2013-11-20-025-XXV-NRSITZ-00005_d7e604	Sitting Number 5, Legislative period XXV, Wednesday, 20. November 2013	2013-11-20	Lower house	Legislative period XXV	-	-	Sitting 5	-	Reference	English	Regular	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_00039	Auer, Jakob	M	1948	
ParlaMint-AT-en_2013-11-20-025-XXV-NRSITZ-00005	ParlaMint-AT_2013-11-20-025-XXV-NRSITZ-00005_d7e631	Sitting Number 5, Legislative period XXV, Wednesday, 20. November 2013	2013-11-20	Lower house	Legislative period XXV	-	-	Sitting 5	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2013-11-20-025-XXV-NRSITZ-00005	ParlaMint-AT_2013-11-20-025-XXV-NRSITZ-00005_d7e653	Sitting Number 5, Legislative period XXV, Wednesday, 20. November 2013	2013-11-20	Lower house	Legislative period XXV	-	-	Sitting 5	-	Reference	English	Regular	MP	notMinister	Grüne	parliamentary group of The Greens – The Green Alternative	Opposition	Centre-left to left	PAD_08239	Brosz, Dieter	M	1968	
ParlaMint-AT-en_2013-11-20-025-XXV-NRSITZ-00005	ParlaMint-AT_2013-11-20-025-XXV-NRSITZ-00005_d7e683	Sitting Number 5, Legislative period XXV, Wednesday, 20. November 2013	2013-11-20	Lower house	Legislative period XXV	-	-	Sitting 5	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
