Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2013-01-31-024-XXIV-NRSITZ-00189	ParlaMint-AT_2013-01-31-024-XXIV-NRSITZ-00189_d7e443	Sitting Number 189, Legislative period XXIV, Thursday, 31. January 2013	2013-01-31	Lower house	Legislative period XXIV	-	-	Sitting 189	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2013-01-31-024-XXIV-NRSITZ-00189	ParlaMint-AT_2013-01-31-024-XXIV-NRSITZ-00189_d7e477	Sitting Number 189, Legislative period XXIV, Thursday, 31. January 2013	2013-01-31	Lower house	Legislative period XXIV	-	-	Sitting 189	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2013-01-31-024-XXIV-NRSITZ-00189	ParlaMint-AT_2013-01-31-024-XXIV-NRSITZ-00189_d7e741	Sitting Number 189, Legislative period XXIV, Thursday, 31. January 2013	2013-01-31	Lower house	Legislative period XXIV	-	-	Sitting 189	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
