Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2013-04-26-024-XXIV-NRSITZ-00201	ParlaMint-AT_2013-04-26-024-XXIV-NRSITZ-00201_d7e729	Sitting Number 201, Legislative period XXIV, Friday, 26. April 2013	2013-04-26	Lower house	Legislative period XXIV	-	-	Sitting 201	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
ParlaMint-AT-en_2013-04-26-024-XXIV-NRSITZ-00201	ParlaMint-AT_2013-04-26-024-XXIV-NRSITZ-00201_d7e763	Sitting Number 201, Legislative period XXIV, Friday, 26. April 2013	2013-04-26	Lower house	Legislative period XXIV	-	-	Sitting 201	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
ParlaMint-AT-en_2013-04-26-024-XXIV-NRSITZ-00201	ParlaMint-AT_2013-04-26-024-XXIV-NRSITZ-00201_d7e961	Sitting Number 201, Legislative period XXIV, Friday, 26. April 2013	2013-04-26	Lower house	Legislative period XXIV	-	-	Sitting 201	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
