Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2013-07-03-024-XXIV-NRSITZ-00214	ParlaMint-AT_2013-07-03-024-XXIV-NRSITZ-00214_d7e407	Sitting Number 214, Legislative period XXIV, Wednesday, 3. July 2013	2013-07-03	Lower house	Legislative period XXIV	-	-	Sitting 214	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2013-07-03-024-XXIV-NRSITZ-00214	ParlaMint-AT_2013-07-03-024-XXIV-NRSITZ-00214_d7e438	Sitting Number 214, Legislative period XXIV, Wednesday, 3. July 2013	2013-07-03	Lower house	Legislative period XXIV	-	-	Sitting 214	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2013-07-03-024-XXIV-NRSITZ-00214	ParlaMint-AT_2013-07-03-024-XXIV-NRSITZ-00214_d7e517	Sitting Number 214, Legislative period XXIV, Wednesday, 3. July 2013	2013-07-03	Lower house	Legislative period XXIV	-	-	Sitting 214	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
