Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2013-10-29-025-XXV-NRSITZ-00002	ParlaMint-AT_2013-10-29-025-XXV-NRSITZ-00002_d7e336	Sitting Number 2, Legislative period XXV, Tuesday, 29. October 2013	2013-10-29	Lower house	Legislative period XXV	-	-	Sitting 2	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2013-10-29-025-XXV-NRSITZ-00002	ParlaMint-AT_2013-10-29-025-XXV-NRSITZ-00002_d7e361	Sitting Number 2, Legislative period XXV, Tuesday, 29. October 2013	2013-10-29	Lower house	Legislative period XXV	-	-	Sitting 2	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
ParlaMint-AT-en_2013-10-29-025-XXV-NRSITZ-00002	ParlaMint-AT_2013-10-29-025-XXV-NRSITZ-00002_d7e611	Sitting Number 2, Legislative period XXV, Tuesday, 29. October 2013	2013-10-29	Lower house	Legislative period XXV	-	-	Sitting 2	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_02822	Kopf, Karlheinz	M	1957	
