Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2013-02-27-024-XXIV-NRSITZ-00192	ParlaMint-AT_2013-02-27-024-XXIV-NRSITZ-00192_d7e443	Sitting Number 192, Legislative period XXIV, Wednesday, 27. February 2013	2013-02-27	Lower house	Legislative period XXIV	-	-	Sitting 192	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2013-02-27-024-XXIV-NRSITZ-00192	ParlaMint-AT_2013-02-27-024-XXIV-NRSITZ-00192_d7e474	Sitting Number 192, Legislative period XXIV, Wednesday, 27. February 2013	2013-02-27	Lower house	Legislative period XXIV	-	-	Sitting 192	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2013-02-27-024-XXIV-NRSITZ-00192	ParlaMint-AT_2013-02-27-024-XXIV-NRSITZ-00192_d7e900	Sitting Number 192, Legislative period XXIV, Wednesday, 27. February 2013	2013-02-27	Lower house	Legislative period XXIV	-	-	Sitting 192	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
