Session,Date,Left,Centre,Right
ParlaMint-HU-en_2014-05-06-meta.tsv,2014-05-06,1,0,6
ParlaMint-HU-en_2014-05-10-meta.tsv,2014-05-10,0,0,2
ParlaMint-HU-en_2014-05-12-meta.tsv,2014-05-12,6,0,20
ParlaMint-HU-en_2014-05-13-meta.tsv,2014-05-13,11,0,15
ParlaMint-HU-en_2014-05-26-meta.tsv,2014-05-26,8,1,23
ParlaMint-HU-en_2014-06-02-meta.tsv,2014-06-02,12,0,29
ParlaMint-HU-en_2014-06-06-meta.tsv,2014-06-06,0,0,5
ParlaMint-HU-en_2014-06-10-meta.tsv,2014-06-10,16,1,37
ParlaMint-HU-en_2014-06-11-meta.tsv,2014-06-11,15,0,24
ParlaMint-HU-en_2014-06-19-meta.tsv,2014-06-19,24,0,38
ParlaMint-HU-en_2014-06-23-meta.tsv,2014-06-23,21,0,41
ParlaMint-HU-en_2014-06-30-meta.tsv,2014-06-30,20,1,42
ParlaMint-HU-en_2014-07-04-meta.tsv,2014-07-04,17,0,34
ParlaMint-HU-en_2014-09-15-meta.tsv,2014-09-15,20,0,44
ParlaMint-HU-en_2014-09-16-meta.tsv,2014-09-16,12,0,21
ParlaMint-HU-en_2014-09-24-meta.tsv,2014-09-24,17,0,41
ParlaMint-HU-en_2014-09-26-meta.tsv,2014-09-26,14,0,28
ParlaMint-HU-en_2014-10-13-meta.tsv,2014-10-13,20,0,33
ParlaMint-HU-en_2014-10-14-meta.tsv,2014-10-14,17,0,18
ParlaMint-HU-en_2014-10-20-meta.tsv,2014-10-20,22,0,45
ParlaMint-HU-en_2014-10-27-meta.tsv,2014-10-27,19,0,40
ParlaMint-HU-en_2014-10-28-meta.tsv,2014-10-28,21,0,30
ParlaMint-HU-en_2014-11-03-meta.tsv,2014-11-03,21,1,49
ParlaMint-HU-en_2014-11-10-meta.tsv,2014-11-10,22,0,47
ParlaMint-HU-en_2014-11-11-meta.tsv,2014-11-11,12,0,23
ParlaMint-HU-en_2014-11-17-meta.tsv,2014-11-17,18,0,41
ParlaMint-HU-en_2014-11-18-meta.tsv,2014-11-18,7,0,19
ParlaMint-HU-en_2014-11-19-meta.tsv,2014-11-19,11,0,38
ParlaMint-HU-en_2014-11-20-meta.tsv,2014-11-20,17,0,48
ParlaMint-HU-en_2014-11-21-meta.tsv,2014-11-21,17,1,32
ParlaMint-HU-en_2014-11-24-meta.tsv,2014-11-24,20,1,40
ParlaMint-HU-en_2014-11-25-meta.tsv,2014-11-25,14,1,32
ParlaMint-HU-en_2014-11-26-meta.tsv,2014-11-26,11,0,13
ParlaMint-HU-en_2014-12-01-meta.tsv,2014-12-01,18,2,41
ParlaMint-HU-en_2014-12-02-meta.tsv,2014-12-02,15,1,22
ParlaMint-HU-en_2014-12-03-meta.tsv,2014-12-03,16,1,52
ParlaMint-HU-en_2014-12-08-meta.tsv,2014-12-08,25,1,51
ParlaMint-HU-en_2014-12-09-meta.tsv,2014-12-09,11,1,22
ParlaMint-HU-en_2014-12-10-meta.tsv,2014-12-10,15,0,12
ParlaMint-HU-en_2014-12-15-meta.tsv,2014-12-15,23,1,49
ParlaMint-HU-en_2014-12-16-meta.tsv,2014-12-16,15,0,38
ParlaMint-HU-en_2014-12-23-1-meta.tsv,2014-12-23,2,0,4
ParlaMint-HU-en_2014-12-23-2-meta.tsv,2014-12-23,17,0,34
ParlaMint-HU-en_2015-02-16-meta.tsv,2015-02-16,16,1,43
ParlaMint-HU-en_2015-02-18-meta.tsv,2015-02-18,13,0,23
ParlaMint-HU-en_2015-02-20-meta.tsv,2015-02-20,19,1,40
ParlaMint-HU-en_2015-02-23-meta.tsv,2015-02-23,17,0,34
ParlaMint-HU-en_2015-02-26-meta.tsv,2015-02-26,12,0,29
ParlaMint-HU-en_2015-03-02-meta.tsv,2015-03-02,18,0,41
ParlaMint-HU-en_2015-03-03-meta.tsv,2015-03-03,15,1,28
ParlaMint-HU-en_2015-03-04-meta.tsv,2015-03-04,2,0,11
ParlaMint-HU-en_2015-03-05-meta.tsv,2015-03-05,6,0,7
ParlaMint-HU-en_2015-03-09-meta.tsv,2015-03-09,18,0,26
ParlaMint-HU-en_2015-03-16-meta.tsv,2015-03-16,22,0,49
ParlaMint-HU-en_2015-03-17-meta.tsv,2015-03-17,12,0,25
ParlaMint-HU-en_2015-03-18-meta.tsv,2015-03-18,7,0,26
ParlaMint-HU-en_2015-03-19-meta.tsv,2015-03-19,9,0,16
ParlaMint-HU-en_2015-03-23-meta.tsv,2015-03-23,18,0,33
ParlaMint-HU-en_2015-03-30-meta.tsv,2015-03-30,16,0,44
ParlaMint-HU-en_2015-03-31-meta.tsv,2015-03-31,12,0,31
ParlaMint-HU-en_2015-04-01-meta.tsv,2015-04-01,9,0,17
ParlaMint-HU-en_2015-04-07-meta.tsv,2015-04-07,16,0,36
ParlaMint-HU-en_2015-04-13-meta.tsv,2015-04-13,16,1,47
ParlaMint-HU-en_2015-04-14-meta.tsv,2015-04-14,12,0,34
ParlaMint-HU-en_2015-04-20-meta.tsv,2015-04-20,16,0,30
ParlaMint-HU-en_2015-04-27-meta.tsv,2015-04-27,21,0,49
ParlaMint-HU-en_2015-04-28-meta.tsv,2015-04-28,13,1,27
ParlaMint-HU-en_2015-04-29-meta.tsv,2015-04-29,13,0,24
ParlaMint-HU-en_2015-05-04-meta.tsv,2015-05-04,13,0,37
ParlaMint-HU-en_2015-05-11-meta.tsv,2015-05-11,17,0,38
ParlaMint-HU-en_2015-05-12-meta.tsv,2015-05-12,10,0,25
ParlaMint-HU-en_2015-05-13-meta.tsv,2015-05-13,8,0,11
ParlaMint-HU-en_2015-05-19-meta.tsv,2015-05-19,18,0,31
ParlaMint-HU-en_2015-05-26-meta.tsv,2015-05-26,19,0,42
ParlaMint-HU-en_2015-05-27-meta.tsv,2015-05-27,14,0,34
ParlaMint-HU-en_2015-05-28-meta.tsv,2015-05-28,17,0,46
ParlaMint-HU-en_2015-05-29-meta.tsv,2015-05-29,14,0,35
ParlaMint-HU-en_2015-05-30-meta.tsv,2015-05-30,8,0,19
ParlaMint-HU-en_2015-06-01-meta.tsv,2015-06-01,13,0,34
ParlaMint-HU-en_2015-06-08-meta.tsv,2015-06-08,21,0,53
ParlaMint-HU-en_2015-06-09-meta.tsv,2015-06-09,14,0,32
ParlaMint-HU-en_2015-06-10-meta.tsv,2015-06-10,9,0,26
ParlaMint-HU-en_2015-06-11-meta.tsv,2015-06-11,11,1,26
ParlaMint-HU-en_2015-06-12-meta.tsv,2015-06-12,11,1,21
ParlaMint-HU-en_2015-06-15-meta.tsv,2015-06-15,20,0,41
ParlaMint-HU-en_2015-06-16-meta.tsv,2015-06-16,11,1,33
ParlaMint-HU-en_2015-06-17-meta.tsv,2015-06-17,13,1,37
ParlaMint-HU-en_2015-06-22-meta.tsv,2015-06-22,16,0,46
ParlaMint-HU-en_2015-06-23-meta.tsv,2015-06-23,12,0,29
ParlaMint-HU-en_2015-06-29-meta.tsv,2015-06-29,19,0,51
ParlaMint-HU-en_2015-06-30-meta.tsv,2015-06-30,14,1,34
ParlaMint-HU-en_2015-07-03-meta.tsv,2015-07-03,7,1,24
ParlaMint-HU-en_2015-07-06-meta.tsv,2015-07-06,16,0,38
ParlaMint-HU-en_2015-09-03-meta.tsv,2015-09-03,13,0,31
ParlaMint-HU-en_2015-09-04-meta.tsv,2015-09-04,9,0,29
ParlaMint-HU-en_2015-09-21-meta.tsv,2015-09-21,21,0,48
ParlaMint-HU-en_2015-09-22-meta.tsv,2015-09-22,13,0,27
ParlaMint-HU-en_2015-09-28-meta.tsv,2015-09-28,13,1,27
ParlaMint-HU-en_2015-09-29-meta.tsv,2015-09-29,8,0,28
ParlaMint-HU-en_2015-10-05-meta.tsv,2015-10-05,15,1,38
ParlaMint-HU-en_2015-10-06-meta.tsv,2015-10-06,12,0,30
ParlaMint-HU-en_2015-10-07-meta.tsv,2015-10-07,11,0,12
ParlaMint-HU-en_2015-10-08-meta.tsv,2015-10-08,4,0,4
ParlaMint-HU-en_2015-10-12-meta.tsv,2015-10-12,17,1,35
ParlaMint-HU-en_2015-10-19-meta.tsv,2015-10-19,20,0,40
ParlaMint-HU-en_2015-10-20-meta.tsv,2015-10-20,9,0,23
