Session,Date,Male,Female
ParlaMint-HU-en_2014-05-06-meta.tsv,2014-05-06,7,3
ParlaMint-HU-en_2014-05-10-meta.tsv,2014-05-10,2,0
ParlaMint-HU-en_2014-05-12-meta.tsv,2014-05-12,23,4
ParlaMint-HU-en_2014-05-13-meta.tsv,2014-05-13,24,3
ParlaMint-HU-en_2014-05-26-meta.tsv,2014-05-26,30,2
ParlaMint-HU-en_2014-06-02-meta.tsv,2014-06-02,38,3
ParlaMint-HU-en_2014-06-06-meta.tsv,2014-06-06,5,0
ParlaMint-HU-en_2014-06-10-meta.tsv,2014-06-10,48,8
ParlaMint-HU-en_2014-06-11-meta.tsv,2014-06-11,35,5
ParlaMint-HU-en_2014-06-19-meta.tsv,2014-06-19,60,7
ParlaMint-HU-en_2014-06-23-meta.tsv,2014-06-23,58,7
ParlaMint-HU-en_2014-06-30-meta.tsv,2014-06-30,63,7
ParlaMint-HU-en_2014-07-04-meta.tsv,2014-07-04,47,6
ParlaMint-HU-en_2014-09-15-meta.tsv,2014-09-15,61,8
ParlaMint-HU-en_2014-09-16-meta.tsv,2014-09-16,30,6
ParlaMint-HU-en_2014-09-24-meta.tsv,2014-09-24,53,10
ParlaMint-HU-en_2014-09-26-meta.tsv,2014-09-26,37,7
ParlaMint-HU-en_2014-10-13-meta.tsv,2014-10-13,51,6
ParlaMint-HU-en_2014-10-14-meta.tsv,2014-10-14,34,5
ParlaMint-HU-en_2014-10-20-meta.tsv,2014-10-20,62,10
ParlaMint-HU-en_2014-10-27-meta.tsv,2014-10-27,58,6
ParlaMint-HU-en_2014-10-28-meta.tsv,2014-10-28,47,8
ParlaMint-HU-en_2014-11-03-meta.tsv,2014-11-03,67,10
ParlaMint-HU-en_2014-11-10-meta.tsv,2014-11-10,63,11
ParlaMint-HU-en_2014-11-11-meta.tsv,2014-11-11,36,1
ParlaMint-HU-en_2014-11-17-meta.tsv,2014-11-17,56,8
ParlaMint-HU-en_2014-11-18-meta.tsv,2014-11-18,26,3
ParlaMint-HU-en_2014-11-19-meta.tsv,2014-11-19,50,7
ParlaMint-HU-en_2014-11-20-meta.tsv,2014-11-20,60,10
ParlaMint-HU-en_2014-11-21-meta.tsv,2014-11-21,53,5
ParlaMint-HU-en_2014-11-24-meta.tsv,2014-11-24,60,6
ParlaMint-HU-en_2014-11-25-meta.tsv,2014-11-25,40,11
ParlaMint-HU-en_2014-11-26-meta.tsv,2014-11-26,21,6
