Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2002-02-28-upper	ParlaMint-NO_2002-02-28-upper.ana.ud1017e47	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-28	2002-02-28	Upper house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-28	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_2002-02-28-upper	ParlaMint-NO_2002-02-28-upper.ana.ud1017e68	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-28	2002-02-28	Upper house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-28	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2002-02-28-upper	ParlaMint-NO_2002-02-28-upper.ana.ud1017e84	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-28	2002-02-28	Upper house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-28	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2002-02-28-upper	ParlaMint-NO_2002-02-28-upper.ana.ud1017e100	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-28	2002-02-28	Upper house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-28	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.PEOW	Width, Per Ove	M	1939	
ParlaMint-NO-en_2002-02-28-upper	ParlaMint-NO_2002-02-28-upper.ana.ud1017e114	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-28	2002-02-28	Upper house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-28	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2002-02-28-upper	ParlaMint-NO_2002-02-28-upper.ana.ud1017e125	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-28	2002-02-28	Upper house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-28	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
