Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2002-12-12-lower	ParlaMint-NO_2002-12-12-lower.ana.ud113e33	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-12-12	2002-12-12	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-12-12	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2002-12-12-lower	ParlaMint-NO_2002-12-12-lower.ana.ud113e36	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-12-12	2002-12-12	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-12-12	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.KAAN	Andersen, Karin	F	1952	
ParlaMint-NO-en_2002-12-12-lower	ParlaMint-NO_2002-12-12-lower.ana.ud113e41	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-12-12	2002-12-12	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-12-12	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2002-12-12-lower	ParlaMint-NO_2002-12-12-lower.ana.ud113e50	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-12-12	2002-12-12	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-12-12	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
