Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2002-12-19-upper	ParlaMint-NO_2002-12-19-upper.ana.ud180e109	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-12-19	2002-12-19	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-12-19	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2002-12-19-upper	ParlaMint-NO_2002-12-19-upper.ana.ud180e123	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-12-19	2002-12-19	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-12-19	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2002-12-19-upper	ParlaMint-NO_2002-12-19-upper.ana.ud180e139	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-12-19	2002-12-19	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-12-19	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2002-12-19-upper	ParlaMint-NO_2002-12-19-upper.ana.ud180e155	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-12-19	2002-12-19	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-12-19	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2002-12-19-upper	ParlaMint-NO_2002-12-19-upper.ana.ud180e171	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-12-19	2002-12-19	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-12-19	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.RUI	Rui, Anne Helen	F	1950	
ParlaMint-NO-en_2002-12-19-upper	ParlaMint-NO_2002-12-19-upper.ana.ud180e183	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-12-19	2002-12-19	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-12-19	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2002-12-19-upper	ParlaMint-NO_2002-12-19-upper.ana.ud180e194	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-12-19	2002-12-19	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-12-19	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2002-12-19-upper	ParlaMint-NO_2002-12-19-upper.ana.ud180e208	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-12-19	2002-12-19	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-12-19	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2002-12-19-upper	ParlaMint-NO_2002-12-19-upper.ana.ud180e224	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-12-19	2002-12-19	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-12-19	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2002-12-19-upper	ParlaMint-NO_2002-12-19-upper.ana.ud180e240	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-12-19	2002-12-19	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-12-19	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.RUI	Rui, Anne Helen	F	1950	
ParlaMint-NO-en_2002-12-19-upper	ParlaMint-NO_2002-12-19-upper.ana.ud180e252	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-12-19	2002-12-19	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-12-19	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
