Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2002-10-03	ParlaMint-NO_2002-10-03.ana.ud2227e24	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-10-03	2002-10-03	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-10-03	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
ParlaMint-NO-en_2002-10-03	ParlaMint-NO_2002-10-03.ana.ud2227e77	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-10-03	2002-10-03	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-10-03	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
ParlaMint-NO-en_2002-10-03	ParlaMint-NO_2002-10-03.ana.ud2227e85	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-10-03	2002-10-03	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-10-03	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
ParlaMint-NO-en_2002-10-03	ParlaMint-NO_2002-10-03.ana.ud2227e88	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-10-03	2002-10-03	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-10-03	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.JIA	Alvheim, John I.	M	1930	
ParlaMint-NO-en_2002-10-03	ParlaMint-NO_2002-10-03.ana.ud2227e93	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-10-03	2002-10-03	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-10-03	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
ParlaMint-NO-en_2002-10-03	ParlaMint-NO_2002-10-03.ana.ud2227e96	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-10-03	2002-10-03	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-10-03	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.RHRE	Reikvam, Rolf	M	1948	
ParlaMint-NO-en_2002-10-03	ParlaMint-NO_2002-10-03.ana.ud2227e101	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-10-03	2002-10-03	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-10-03	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
ParlaMint-NO-en_2002-10-03	ParlaMint-NO_2002-10-03.ana.ud2227e105	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-10-03	2002-10-03	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-10-03	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.AESO	Sortevik, Arne	M	1947	
ParlaMint-NO-en_2002-10-03	ParlaMint-NO_2002-10-03.ana.ud2227e110	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-10-03	2002-10-03	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-10-03	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
ParlaMint-NO-en_2002-10-03	ParlaMint-NO_2002-10-03.ana.ud2227e113	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-10-03	2002-10-03	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-10-03	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.ORE	Enoksen, Odd Roger	M	1954	
ParlaMint-NO-en_2002-10-03	ParlaMint-NO_2002-10-03.ana.ud2227e120	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-10-03	2002-10-03	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-10-03	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
