Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2002-11-12-lower	ParlaMint-NO_2002-11-12-lower.ana.ud2024e54	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-12	2002-11-12	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-12	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2002-11-12-lower	ParlaMint-NO_2002-11-12-lower.ana.ud2024e70	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-12	2002-11-12	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-12	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2002-11-12-lower	ParlaMint-NO_2002-11-12-lower.ana.ud2024e86	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-12	2002-11-12	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-12	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.HKH	Hogsnes, Hans Kristian	M	1954	
ParlaMint-NO-en_2002-11-12-lower	ParlaMint-NO_2002-11-12-lower.ana.ud2024e99	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-12	2002-11-12	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-12	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2002-11-12-lower	ParlaMint-NO_2002-11-12-lower.ana.ud2024e107	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-12	2002-11-12	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-12	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2002-11-12-lower	ParlaMint-NO_2002-11-12-lower.ana.ud2024e144	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-12	2002-11-12	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-12	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2002-11-12-lower	ParlaMint-NO_2002-11-12-lower.ana.ud2024e154	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-12	2002-11-12	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-12	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2002-11-12-lower	ParlaMint-NO_2002-11-12-lower.ana.ud2024e198	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-12	2002-11-12	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-12	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2002-11-12-lower	ParlaMint-NO_2002-11-12-lower.ana.ud2024e208	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-12	2002-11-12	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-12	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2002-11-12-lower	ParlaMint-NO_2002-11-12-lower.ana.ud2024e244	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-12	2002-11-12	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-12	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2002-11-12-lower	ParlaMint-NO_2002-11-12-lower.ana.ud2024e254	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-12	2002-11-12	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-12	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
