Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2002-10-17-lower	ParlaMint-NO_2002-10-17-lower.ana.ud1689e25	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-10-17	2002-10-17	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-10-17	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ASK	Kristoffersen, Asmund	M	1944	
ParlaMint-NO-en_2002-10-17-lower	ParlaMint-NO_2002-10-17-lower.ana.ud1689e28	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-10-17	2002-10-17	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-10-17	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.HMS	Solberg, Hill-Marta	F	1951	
ParlaMint-NO-en_2002-10-17-lower	ParlaMint-NO_2002-10-17-lower.ana.ud1689e33	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-10-17	2002-10-17	Lower house	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-10-17	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ASK	Kristoffersen, Asmund	M	1944	
