Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2002-11-12	ParlaMint-NO_2002-11-12.ana.ud877e45	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-12	2002-11-12	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-12	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2002-11-12	ParlaMint-NO_2002-11-12.ana.ud877e111	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-12	2002-11-12	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-12	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2002-11-12	ParlaMint-NO_2002-11-12.ana.ud877e119	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-12	2002-11-12	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-12	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2002-11-12	ParlaMint-NO_2002-11-12.ana.ud877e122	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-12	2002-11-12	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-12	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.JKO	Koløy, Jan	M	1940	
ParlaMint-NO-en_2002-11-12	ParlaMint-NO_2002-11-12.ana.ud877e127	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-12	2002-11-12	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-12	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2002-11-12	ParlaMint-NO_2002-11-12.ana.ud877e141	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-12	2002-11-12	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-12	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2002-11-12	ParlaMint-NO_2002-11-12.ana.ud877e170	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-12	2002-11-12	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-12	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
ParlaMint-NO-en_2002-11-12	ParlaMint-NO_2002-11-12.ana.ud877e204	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-12	2002-11-12	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-12	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2002-11-12	ParlaMint-NO_2002-11-12.ana.ud877e236	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-12	2002-11-12	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-12	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2002-11-12	ParlaMint-NO_2002-11-12.ana.ud877e239	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-12	2002-11-12	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-12	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2002-11-12	ParlaMint-NO_2002-11-12.ana.ud877e259	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-12	2002-11-12	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-12	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.MMK	Kleppa, Magnhild Meltveit	F	1948	
