Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2002-01-24	ParlaMint-NO_2002-01-24.ana.ud978e30	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-01-24	2002-01-24	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-01-24	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2002-01-24	ParlaMint-NO_2002-01-24.ana.ud978e33	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-01-24	2002-01-24	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-01-24	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.KSW	Woldseth, Karin S.	F	1954	
ParlaMint-NO-en_2002-01-24	ParlaMint-NO_2002-01-24.ana.ud978e38	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-01-24	2002-01-24	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-01-24	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2002-01-24	ParlaMint-NO_2002-01-24.ana.ud978e41	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-01-24	2002-01-24	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-01-24	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.MEH	Hansen, May	F	1953	
ParlaMint-NO-en_2002-01-24	ParlaMint-NO_2002-01-24.ana.ud978e46	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-01-24	2002-01-24	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-01-24	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2002-01-24	ParlaMint-NO_2002-01-24.ana.ud978e58	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-01-24	2002-01-24	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-01-24	-	Reference	English	Regular	notMP	Minister	H	Høyre	Coalition	Centre-right	person.VN	Norman, Victor	M	1946	
ParlaMint-NO-en_2002-01-24	ParlaMint-NO_2002-01-24.ana.ud978e179	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-01-24	2002-01-24	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-01-24	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2002-01-24	ParlaMint-NO_2002-01-24.ana.ud978e197	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-01-24	2002-01-24	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-01-24	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.PETL	Løvik, Petter	M	1949	
ParlaMint-NO-en_2002-01-24	ParlaMint-NO_2002-01-24.ana.ud978e212	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-01-24	2002-01-24	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-01-24	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.KES	Svendsen, Kenneth	M	1954	
ParlaMint-NO-en_2002-01-24	ParlaMint-NO_2002-01-24.ana.ud978e223	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-01-24	2002-01-24	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-01-24	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2002-01-24	ParlaMint-NO_2002-01-24.ana.ud978e264	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-01-24	2002-01-24	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-01-24	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2002-01-24	ParlaMint-NO_2002-01-24.ana.ud978e283	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-01-24	2002-01-24	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-01-24	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
