Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2002-03-08-lower	ParlaMint-NO_2002-03-08-lower.ana.ud2254e42	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-03-08	2002-03-08	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-03-08	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2002-03-08-lower	ParlaMint-NO_2002-03-08-lower.ana.ud2254e51	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-03-08	2002-03-08	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-03-08	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.INGR	Ryan, Inge	M	1956	
ParlaMint-NO-en_2002-03-08-lower	ParlaMint-NO_2002-03-08-lower.ana.ud2254e66	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-03-08	2002-03-08	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-03-08	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2002-03-08-lower	ParlaMint-NO_2002-03-08-lower.ana.ud2254e69	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-03-08	2002-03-08	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-03-08	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GRF	Fossli, Grethe	F	1954	
ParlaMint-NO-en_2002-03-08-lower	ParlaMint-NO_2002-03-08-lower.ana.ud2254e96	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-03-08	2002-03-08	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-03-08	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.OHE	Hedstrøm, Øystein	M	1946	
ParlaMint-NO-en_2002-03-08-lower	ParlaMint-NO_2002-03-08-lower.ana.ud2254e119	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-03-08	2002-03-08	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-03-08	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OLAG	Gjedrem, Olaf	M	1948	
ParlaMint-NO-en_2002-03-08-lower	ParlaMint-NO_2002-03-08-lower.ana.ud2254e136	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-03-08	2002-03-08	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-03-08	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.MAA	Arnstad, Marit	F	1962	
ParlaMint-NO-en_2002-03-08-lower	ParlaMint-NO_2002-03-08-lower.ana.ud2254e149	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-03-08	2002-03-08	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-03-08	-	Reference	English	Regular	MP	Minister	V	Venstre	Coalition	Centre	person.LS	Sponheim, Lars	M	1957	
ParlaMint-NO-en_2002-03-08-lower	ParlaMint-NO_2002-03-08-lower.ana.ud2254e168	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-03-08	2002-03-08	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-03-08	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2002-03-08-lower	ParlaMint-NO_2002-03-08-lower.ana.ud2254e176	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-03-08	2002-03-08	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-03-08	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
ParlaMint-NO-en_2002-03-08-lower	ParlaMint-NO_2002-03-08-lower.ana.ud2254e183	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-03-08	2002-03-08	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-03-08	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BB	Brørby, Berit	F	1950	
