Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2002-02-26-lower	ParlaMint-NO_2002-02-26-lower.ana.ud349e42	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-26	2002-02-26	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-26	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.EVNI	Nielsen, Eva M.	F	1950	
ParlaMint-NO-en_2002-02-26-lower	ParlaMint-NO_2002-02-26-lower.ana.ud349e57	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-26	2002-02-26	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-26	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.JAOO	Olsen, Jan Olav	M	1950	
ParlaMint-NO-en_2002-02-26-lower	ParlaMint-NO_2002-02-26-lower.ana.ud349e68	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-26	2002-02-26	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-26	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.UE	Evje, Ursula	F	1944	
ParlaMint-NO-en_2002-02-26-lower	ParlaMint-NO_2002-02-26-lower.ana.ud349e97	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-26	2002-02-26	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-26	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.AL	Lyngstad, Arne	M	1962	
ParlaMint-NO-en_2002-02-26-lower	ParlaMint-NO_2002-02-26-lower.ana.ud349e108	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-26	2002-02-26	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-26	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2002-02-26-lower	ParlaMint-NO_2002-02-26-lower.ana.ud349e116	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-26	2002-02-26	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-26	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2002-02-26-lower	ParlaMint-NO_2002-02-26-lower.ana.ud349e229	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-26	2002-02-26	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-26	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2002-02-26-lower	ParlaMint-NO_2002-02-26-lower.ana.ud349e266	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-26	2002-02-26	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-26	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
ParlaMint-NO-en_2002-02-26-lower	ParlaMint-NO_2002-02-26-lower.ana.ud349e276	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-26	2002-02-26	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-26	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.GEHN	Hansen, Geir-Ketil	M	1956	
