Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2002-12-05-upper	ParlaMint-NO_2002-12-05-upper.ana.ud937e108	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-12-05	2002-12-05	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-12-05	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2002-12-05-upper	ParlaMint-NO_2002-12-05-upper.ana.ud937e124	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-12-05	2002-12-05	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-12-05	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2002-12-05-upper	ParlaMint-NO_2002-12-05-upper.ana.ud937e140	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-12-05	2002-12-05	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-12-05	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2002-12-05-upper	ParlaMint-NO_2002-12-05-upper.ana.ud937e156	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-12-05	2002-12-05	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-12-05	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2002-12-05-upper	ParlaMint-NO_2002-12-05-upper.ana.ud937e172	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-12-05	2002-12-05	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-12-05	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2002-12-05-upper	ParlaMint-NO_2002-12-05-upper.ana.ud937e187	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-12-05	2002-12-05	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-12-05	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.PETL	Løvik, Petter	M	1949	
ParlaMint-NO-en_2002-12-05-upper	ParlaMint-NO_2002-12-05-upper.ana.ud937e199	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-12-05	2002-12-05	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-12-05	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2002-12-05-upper	ParlaMint-NO_2002-12-05-upper.ana.ud937e208	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-12-05	2002-12-05	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-12-05	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2002-12-05-upper	ParlaMint-NO_2002-12-05-upper.ana.ud937e222	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-12-05	2002-12-05	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-12-05	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
ParlaMint-NO-en_2002-12-05-upper	ParlaMint-NO_2002-12-05-upper.ana.ud937e238	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-12-05	2002-12-05	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-12-05	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.RUI	Rui, Anne Helen	F	1950	
ParlaMint-NO-en_2002-12-05-upper	ParlaMint-NO_2002-12-05-upper.ana.ud937e256	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-12-05	2002-12-05	Upper house	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-12-05	-	Reference	English	Chairperson	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.LOSO	Solholm, Lodve	M	1949	
