Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2002-06-13-lower-2	ParlaMint-NO_2002-06-13-lower-2.ana.ud2245e49	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-06-13	2002-06-13	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-06-13	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2002-06-13-lower-2	ParlaMint-NO_2002-06-13-lower-2.ana.ud2245e58	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-06-13	2002-06-13	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-06-13	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.ASAE	Elvik, Åsa	F	1979	
ParlaMint-NO-en_2002-06-13-lower-2	ParlaMint-NO_2002-06-13-lower-2.ana.ud2245e107	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-06-13	2002-06-13	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-06-13	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.GRF	Fossli, Grethe	F	1954	
ParlaMint-NO-en_2002-06-13-lower-2	ParlaMint-NO_2002-06-13-lower-2.ana.ud2245e125	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-06-13	2002-06-13	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-06-13	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.IVK	Kristiansen, Ivar	M	1956	
ParlaMint-NO-en_2002-06-13-lower-2	ParlaMint-NO_2002-06-13-lower-2.ana.ud2245e132	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-06-13	2002-06-13	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-06-13	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.OHE	Hedstrøm, Øystein	M	1946	
ParlaMint-NO-en_2002-06-13-lower-2	ParlaMint-NO_2002-06-13-lower-2.ana.ud2245e151	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-06-13	2002-06-13	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-06-13	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
ParlaMint-NO-en_2002-06-13-lower-2	ParlaMint-NO_2002-06-13-lower-2.ana.ud2245e154	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-06-13	2002-06-13	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-06-13	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OLAG	Gjedrem, Olaf	M	1948	
ParlaMint-NO-en_2002-06-13-lower-2	ParlaMint-NO_2002-06-13-lower-2.ana.ud2245e169	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-06-13	2002-06-13	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-06-13	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.MAA	Arnstad, Marit	F	1962	
ParlaMint-NO-en_2002-06-13-lower-2	ParlaMint-NO_2002-06-13-lower-2.ana.ud2245e184	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-06-13	2002-06-13	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-06-13	-	Reference	English	Regular	MP	Minister	H	Høyre	Coalition	Centre-right	person.AG	Gabrielsen, Ansgar	M	1955	
ParlaMint-NO-en_2002-06-13-lower-2	ParlaMint-NO_2002-06-13-lower-2.ana.ud2245e207	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-06-13	2002-06-13	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-06-13	-	Reference	English	Chairperson	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.AGV	Valle, Ågot	F	1945	
