ParlaMint-NO_2002-04-30-lower.ana.ud2363e31	The representative of Gunn Olsen will make a private bill.
ParlaMint-NO_2002-04-30-lower.ana.ud2363e34	On behalf of the representative of Asmund Kristoffersen and myself, I would like to make a proposal on the law amending the Law of 28 February 1997 No. 19 on public welfare, the rules of popular welfare for a member who is caring for a child who is admitted to a health institution.
ParlaMint-NO_2002-04-30-lower.ana.ud2363e39	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2002-04-30-lower.ana.ud2363e53	I'm going to be very short, but I'm going to put forward the proposal that lies in the minority case, which is made up of the Progress Party and the representative Simonsen. It's like: ‘The decision asks the Government to promote the necessary legislative changes so as to put an end to the obligation of residence of the benefit provider and to give the municipality responsibility for making suitable housing available.’ When we bring this proposal into this case, it is because the case concerns matters relating to the employment of performance. And when we once again promote it – because we have promoted it before – it is because we have received new calls, renewed calls, from the priests, from the representatives of the priests, to continue the efforts to get rid of this little medieval system of living.
ParlaMint-NO_2002-04-30-lower.ana.ud2363e63	The representative of Sortevik has taken up the proposal he has referred to. Several have not asked for the word. [[Footing, see next column]]
ParlaMint-NO_2002-04-30-lower.ana.ud2363e73	Odelstinget then goes to voting.
ParlaMint-NO_2002-04-30-lower.ana.ud2363e80	During the debate Arne Sortevik, on behalf of the Progress Party and the representative Simonsen, presented the following proposals: ‘The decision asks the Government to promote the necessary legislative changes so as to put an end to the obligation of residence of the benefit provider and to give the municipality responsibility for making suitable housing available.’ The proposal will be sent to Stortinget in accordance with the fourth paragraph of Section 30 of the Rules of Procedure.
ParlaMint-NO_2002-04-30-lower.ana.ud2363e121	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_2002-04-30-lower.ana.ud2363e131	The Law Decision will be sent to the Lamentation.
