Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2002-05-21-lower	ParlaMint-NO_2002-05-21-lower.ana.ud1074e31	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-05-21	2002-05-21	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-05-21	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ASK	Kristoffersen, Asmund	M	1944	
ParlaMint-NO-en_2002-05-21-lower	ParlaMint-NO_2002-05-21-lower.ana.ud1074e34	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-05-21	2002-05-21	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-05-21	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.SOH	Hansen, Sigvald Oppebøen	M	1950	
ParlaMint-NO-en_2002-05-21-lower	ParlaMint-NO_2002-05-21-lower.ana.ud1074e39	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-05-21	2002-05-21	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-05-21	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ASK	Kristoffersen, Asmund	M	1944	
ParlaMint-NO-en_2002-05-21-lower	ParlaMint-NO_2002-05-21-lower.ana.ud1074e53	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-05-21	2002-05-21	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-05-21	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ASK	Kristoffersen, Asmund	M	1944	
ParlaMint-NO-en_2002-05-21-lower	ParlaMint-NO_2002-05-21-lower.ana.ud1074e64	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-05-21	2002-05-21	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-05-21	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.TG	Giske, Trond	M	1966	
ParlaMint-NO-en_2002-05-21-lower	ParlaMint-NO_2002-05-21-lower.ana.ud1074e100	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-05-21	2002-05-21	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-05-21	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ASK	Kristoffersen, Asmund	M	1944	
ParlaMint-NO-en_2002-05-21-lower	ParlaMint-NO_2002-05-21-lower.ana.ud1074e103	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-05-21	2002-05-21	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-05-21	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2002-05-21-lower	ParlaMint-NO_2002-05-21-lower.ana.ud1074e112	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-05-21	2002-05-21	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-05-21	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ASK	Kristoffersen, Asmund	M	1944	
ParlaMint-NO-en_2002-05-21-lower	ParlaMint-NO_2002-05-21-lower.ana.ud1074e115	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-05-21	2002-05-21	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-05-21	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.TG	Giske, Trond	M	1966	
ParlaMint-NO-en_2002-05-21-lower	ParlaMint-NO_2002-05-21-lower.ana.ud1074e124	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-05-21	2002-05-21	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-05-21	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.OTL	Lånke, Ola T.	M	1948	
ParlaMint-NO-en_2002-05-21-lower	ParlaMint-NO_2002-05-21-lower.ana.ud1074e137	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-05-21	2002-05-21	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-05-21	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.TG	Giske, Trond	M	1966	
ParlaMint-NO-en_2002-05-21-lower	ParlaMint-NO_2002-05-21-lower.ana.ud1074e148	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-05-21	2002-05-21	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-05-21	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ASK	Kristoffersen, Asmund	M	1944	
