Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2002-01-22	ParlaMint-NO_2002-01-22.ana.ud411e28	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-01-22	2002-01-22	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-01-22	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2002-01-22	ParlaMint-NO_2002-01-22.ana.ud411e99	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-01-22	2002-01-22	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-01-22	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2002-01-22	ParlaMint-NO_2002-01-22.ana.ud411e107	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-01-22	2002-01-22	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-01-22	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2002-01-22	ParlaMint-NO_2002-01-22.ana.ud411e110	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-01-22	2002-01-22	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-01-22	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.HTN	Nesvik, Harald T.	M	1966	
ParlaMint-NO-en_2002-01-22	ParlaMint-NO_2002-01-22.ana.ud411e115	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-01-22	2002-01-22	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-01-22	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.KLH	Holmberg, Kari Lise	F	1951	
ParlaMint-NO-en_2002-01-22	ParlaMint-NO_2002-01-22.ana.ud411e133	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-01-22	2002-01-22	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-01-22	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.TR	Rudihagen, Torstein	M	1951	
ParlaMint-NO-en_2002-01-22	ParlaMint-NO_2002-01-22.ana.ud411e173	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-01-22	2002-01-22	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-01-22	-	Reference	English	Regular	MP	Minister	V	Venstre	Coalition	Centre	person.LS	Sponheim, Lars	M	1957	
ParlaMint-NO-en_2002-01-22	ParlaMint-NO_2002-01-22.ana.ud411e216	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-01-22	2002-01-22	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-01-22	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.TR	Rudihagen, Torstein	M	1951	
ParlaMint-NO-en_2002-01-22	ParlaMint-NO_2002-01-22.ana.ud411e229	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-01-22	2002-01-22	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-01-22	-	Reference	English	Regular	MP	Minister	V	Venstre	Coalition	Centre	person.LS	Sponheim, Lars	M	1957	
ParlaMint-NO-en_2002-01-22	ParlaMint-NO_2002-01-22.ana.ud411e240	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-01-22	2002-01-22	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-01-22	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.AUG	Gaundal, Aud	F	1949	
ParlaMint-NO-en_2002-01-22	ParlaMint-NO_2002-01-22.ana.ud411e255	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-01-22	2002-01-22	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-01-22	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.IVK	Kristiansen, Ivar	M	1956	
