Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2002-02-05	ParlaMint-NO_2002-02-05.ana.ud712e20	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-05	2002-02-05	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-05	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
ParlaMint-NO-en_2002-02-05	ParlaMint-NO_2002-02-05.ana.ud712e49	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-05	2002-02-05	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-05	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
ParlaMint-NO-en_2002-02-05	ParlaMint-NO_2002-02-05.ana.ud712e54	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-05	2002-02-05	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-05	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.TG	Giske, Trond	M	1966	
ParlaMint-NO-en_2002-02-05	ParlaMint-NO_2002-02-05.ana.ud712e59	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-05	2002-02-05	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-05	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
ParlaMint-NO-en_2002-02-05	ParlaMint-NO_2002-02-05.ana.ud712e62	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-05	2002-02-05	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-05	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.SIVJ	Jensen, Siv	F	1969	
ParlaMint-NO-en_2002-02-05	ParlaMint-NO_2002-02-05.ana.ud712e67	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-02-05	2002-02-05	Unicameralism	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-02-05	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.JK	Kosmo, Jørgen	M	1947	
