Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2002-11-26	ParlaMint-NO_2002-11-26.ana.ud189e76	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-26	2002-11-26	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-26	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2002-11-26	ParlaMint-NO_2002-11-26.ana.ud189e96	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-26	2002-11-26	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-26	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2002-11-26	ParlaMint-NO_2002-11-26.ana.ud189e99	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-26	2002-11-26	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-26	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.ORE	Enoksen, Odd Roger	M	1954	
ParlaMint-NO-en_2002-11-26	ParlaMint-NO_2002-11-26.ana.ud189e104	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-26	2002-11-26	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-26	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2002-11-26	ParlaMint-NO_2002-11-26.ana.ud189e141	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-26	2002-11-26	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-26	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2002-11-26	ParlaMint-NO_2002-11-26.ana.ud189e157	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-26	2002-11-26	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-26	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2002-11-26	ParlaMint-NO_2002-11-26.ana.ud189e174	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-26	2002-11-26	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-26	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2002-11-26	ParlaMint-NO_2002-11-26.ana.ud189e190	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-26	2002-11-26	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-26	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2002-11-26	ParlaMint-NO_2002-11-26.ana.ud189e198	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-26	2002-11-26	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-26	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2002-11-26	ParlaMint-NO_2002-11-26.ana.ud189e233	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-26	2002-11-26	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-26	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_2002-11-26	ParlaMint-NO_2002-11-26.ana.ud189e249	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2002-2003, Sitting day 2002-11-26	2002-11-26	Unicameralism	Term 2001-2005	Session 2002-2003	-	Sitting day 2002-11-26	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.INL	Lønning, Inge	M	1938	
