Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2002-03-14-lower	ParlaMint-NO_2002-03-14-lower.ana.ud2095e31	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-03-14	2002-03-14	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-03-14	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ASK	Kristoffersen, Asmund	M	1944	
ParlaMint-NO-en_2002-03-14-lower	ParlaMint-NO_2002-03-14-lower.ana.ud2095e47	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-03-14	2002-03-14	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-03-14	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ASK	Kristoffersen, Asmund	M	1944	
ParlaMint-NO-en_2002-03-14-lower	ParlaMint-NO_2002-03-14-lower.ana.ud2095e54	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-03-14	2002-03-14	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-03-14	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	-	Centre	person.MMK	Kleppa, Magnhild Meltveit	F	1948	
ParlaMint-NO-en_2002-03-14-lower	ParlaMint-NO_2002-03-14-lower.ana.ud2095e86	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-03-14	2002-03-14	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-03-14	-	Reference	English	Regular	MP	notMinister	H	Høyre	Coalition	Centre-right	person.HKH	Hogsnes, Hans Kristian	M	1954	
ParlaMint-NO-en_2002-03-14-lower	ParlaMint-NO_2002-03-14-lower.ana.ud2095e95	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-03-14	2002-03-14	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-03-14	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.HEH	Holmås, Heikki Eidsvoll	M	1972	
ParlaMint-NO-en_2002-03-14-lower	ParlaMint-NO_2002-03-14-lower.ana.ud2095e110	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-03-14	2002-03-14	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-03-14	-	Reference	English	Regular	MP	Minister	H	Høyre	Coalition	Centre-right	person.ES	Solberg, Erna	F	1961	
ParlaMint-NO-en_2002-03-14-lower	ParlaMint-NO_2002-03-14-lower.ana.ud2095e131	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-03-14	2002-03-14	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-03-14	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ASK	Kristoffersen, Asmund	M	1944	
ParlaMint-NO-en_2002-03-14-lower	ParlaMint-NO_2002-03-14-lower.ana.ud2095e139	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-03-14	2002-03-14	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-03-14	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ASK	Kristoffersen, Asmund	M	1944	
ParlaMint-NO-en_2002-03-14-lower	ParlaMint-NO_2002-03-14-lower.ana.ud2095e172	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-03-14	2002-03-14	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-03-14	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ASK	Kristoffersen, Asmund	M	1944	
ParlaMint-NO-en_2002-03-14-lower	ParlaMint-NO_2002-03-14-lower.ana.ud2095e185	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-03-14	2002-03-14	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-03-14	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.AL	Lyngstad, Arne	M	1962	
ParlaMint-NO-en_2002-03-14-lower	ParlaMint-NO_2002-03-14-lower.ana.ud2095e192	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-03-14	2002-03-14	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-03-14	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ASK	Kristoffersen, Asmund	M	1944	
ParlaMint-NO-en_2002-03-14-lower	ParlaMint-NO_2002-03-14-lower.ana.ud2095e208	Hansard from meeting in the Norwegian Parliament, term 2001-2005, Session 2001-2002, Sitting day 2002-03-14	2002-03-14	Lower house	Term 2001-2005	Session 2001-2002	-	Sitting day 2002-03-14	-	Reference	English	Chairperson	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.ASK	Kristoffersen, Asmund	M	1944	
