Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GR-en_2021-10-04-S2-commons	ParlaMint-GR_2021-10-04-S2-commons.u1	Minutes of the assembly of the greek parliament, Term 18, session 3, sitting 1, 2021-10-04	2021-10-04	Unicameralism	18	3	-	1	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΤΑΣΟΥΛΑΣ_ΑΝΑΣΤΑΣΙΟΥ_ΚΩΝΣΤΑΝΤΙΝΟΣ	Tasoylas, Kōnstantinos	M	-	
ParlaMint-GR-en_2021-10-04-S2-commons	ParlaMint-GR_2021-10-04-S2-commons.u2	Minutes of the assembly of the greek parliament, Term 18, session 3, sitting 1, 2021-10-04	2021-10-04	Unicameralism	18	3	-	1	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΤΑΣΟΥΛΑΣ_ΑΝΑΣΤΑΣΙΟΥ_ΚΩΝΣΤΑΝΤΙΝΟΣ	Tasoylas, Kōnstantinos	M	-	
ParlaMint-GR-en_2021-10-04-S2-commons	ParlaMint-GR_2021-10-04-S2-commons.u3	Minutes of the assembly of the greek parliament, Term 18, session 3, sitting 1, 2021-10-04	2021-10-04	Unicameralism	18	3	-	1	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΤΑΣΟΥΛΑΣ_ΑΝΑΣΤΑΣΙΟΥ_ΚΩΝΣΤΑΝΤΙΝΟΣ	Tasoylas, Kōnstantinos	M	-	
ParlaMint-GR-en_2021-10-04-S2-commons	ParlaMint-GR_2021-10-04-S2-commons.u4	Minutes of the assembly of the greek parliament, Term 18, session 3, sitting 1, 2021-10-04	2021-10-04	Unicameralism	18	3	-	1	-	COVID	English	Chairperson	MP	notMinister	N.D.	New Democracy	-	Centre-right	ΤΑΣΟΥΛΑΣ_ΑΝΑΣΤΑΣΙΟΥ_ΚΩΝΣΤΑΝΤΙΝΟΣ	Tasoylas, Kōnstantinos	M	-	
