Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT-en_2013-03-15-LEG17-Senato-sed-1	ParlaMint-IT_2013-03-15-LEG17-Senato-sed-1.ana.u1	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 1, Day (2013-03-15)	2013-03-15	Upper house	17 Legislatura	-	-	1 Seduta	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	ColomboEmilio	Colombo, Emilio	M	1920	
ParlaMint-IT-en_2013-03-15-LEG17-Senato-sed-1	ParlaMint-IT_2013-03-15-LEG17-Senato-sed-1.ana.u2	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 1, Day (2013-03-15)	2013-03-15	Upper house	17 Legislatura	-	-	1 Seduta	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	ColomboEmilio	Colombo, Emilio	M	1920	
ParlaMint-IT-en_2013-03-15-LEG17-Senato-sed-1	ParlaMint-IT_2013-03-15-LEG17-Senato-sed-1.ana.u3	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 1, Day (2013-03-15)	2013-03-15	Upper house	17 Legislatura	-	-	1 Seduta	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	ColomboEmilio	Colombo, Emilio	M	1920	
ParlaMint-IT-en_2013-03-15-LEG17-Senato-sed-1	ParlaMint-IT_2013-03-15-LEG17-Senato-sed-1.ana.u4	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 1, Day (2013-03-15)	2013-03-15	Upper house	17 Legislatura	-	-	1 Seduta	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	ColomboEmilio	Colombo, Emilio	M	1920	
ParlaMint-IT-en_2013-03-15-LEG17-Senato-sed-1	ParlaMint-IT_2013-03-15-LEG17-Senato-sed-1.ana.u5	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 1, Day (2013-03-15)	2013-03-15	Upper house	17 Legislatura	-	-	1 Seduta	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	ColomboEmilio	Colombo, Emilio	M	1920	
ParlaMint-IT-en_2013-03-15-LEG17-Senato-sed-1	ParlaMint-IT_2013-03-15-LEG17-Senato-sed-1.ana.u6	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 1, Day (2013-03-15)	2013-03-15	Upper house	17 Legislatura	-	-	1 Seduta	-	Reference	English	Regular	MP	notMinister	-	-	-	-	CrimiVitoClaudio	Crimi, Vito Claudio	M	1972	
ParlaMint-IT-en_2013-03-15-LEG17-Senato-sed-1	ParlaMint-IT_2013-03-15-LEG17-Senato-sed-1.ana.u7	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 1, Day (2013-03-15)	2013-03-15	Upper house	17 Legislatura	-	-	1 Seduta	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	ColomboEmilio	Colombo, Emilio	M	1920	
ParlaMint-IT-en_2013-03-15-LEG17-Senato-sed-1	ParlaMint-IT_2013-03-15-LEG17-Senato-sed-1.ana.u8	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 1, Day (2013-03-15)	2013-03-15	Upper house	17 Legislatura	-	-	1 Seduta	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	ColomboEmilio	Colombo, Emilio	M	1920	
ParlaMint-IT-en_2013-03-15-LEG17-Senato-sed-1	ParlaMint-IT_2013-03-15-LEG17-Senato-sed-1.ana.u9	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 1, Day (2013-03-15)	2013-03-15	Upper house	17 Legislatura	-	-	1 Seduta	-	Reference	English	Regular	MP	notMinister	-	-	-	-	CrimiVitoClaudio	Crimi, Vito Claudio	M	1972	
ParlaMint-IT-en_2013-03-15-LEG17-Senato-sed-1	ParlaMint-IT_2013-03-15-LEG17-Senato-sed-1.ana.u10	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 1, Day (2013-03-15)	2013-03-15	Upper house	17 Legislatura	-	-	1 Seduta	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	ColomboEmilio	Colombo, Emilio	M	1920	
ParlaMint-IT-en_2013-03-15-LEG17-Senato-sed-1	ParlaMint-IT_2013-03-15-LEG17-Senato-sed-1.ana.u11	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 1, Day (2013-03-15)	2013-03-15	Upper house	17 Legislatura	-	-	1 Seduta	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	ColomboEmilio	Colombo, Emilio	M	1920	
ParlaMint-IT-en_2013-03-15-LEG17-Senato-sed-1	ParlaMint-IT_2013-03-15-LEG17-Senato-sed-1.ana.u12	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 1, Day (2013-03-15)	2013-03-15	Upper house	17 Legislatura	-	-	1 Seduta	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	ColomboEmilio	Colombo, Emilio	M	1920	
ParlaMint-IT-en_2013-03-15-LEG17-Senato-sed-1	ParlaMint-IT_2013-03-15-LEG17-Senato-sed-1.ana.u13	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 1, Day (2013-03-15)	2013-03-15	Upper house	17 Legislatura	-	-	1 Seduta	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	ColomboEmilio	Colombo, Emilio	M	1920	
ParlaMint-IT-en_2013-03-15-LEG17-Senato-sed-1	ParlaMint-IT_2013-03-15-LEG17-Senato-sed-1.ana.u14	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 1, Day (2013-03-15)	2013-03-15	Upper house	17 Legislatura	-	-	1 Seduta	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	ColomboEmilio	Colombo, Emilio	M	1920	
ParlaMint-IT-en_2013-03-15-LEG17-Senato-sed-1	ParlaMint-IT_2013-03-15-LEG17-Senato-sed-1.ana.u15	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 1, Day (2013-03-15)	2013-03-15	Upper house	17 Legislatura	-	-	1 Seduta	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	ColomboEmilio	Colombo, Emilio	M	1920	
ParlaMint-IT-en_2013-03-15-LEG17-Senato-sed-1	ParlaMint-IT_2013-03-15-LEG17-Senato-sed-1.ana.u16	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 1, Day (2013-03-15)	2013-03-15	Upper house	17 Legislatura	-	-	1 Seduta	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	ColomboEmilio	Colombo, Emilio	M	1920	
ParlaMint-IT-en_2013-03-15-LEG17-Senato-sed-1	ParlaMint-IT_2013-03-15-LEG17-Senato-sed-1.ana.u17	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 1, Day (2013-03-15)	2013-03-15	Upper house	17 Legislatura	-	-	1 Seduta	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	ColomboEmilio	Colombo, Emilio	M	1920	
ParlaMint-IT-en_2013-03-15-LEG17-Senato-sed-1	ParlaMint-IT_2013-03-15-LEG17-Senato-sed-1.ana.u18	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 1, Day (2013-03-15)	2013-03-15	Upper house	17 Legislatura	-	-	1 Seduta	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	ColomboEmilio	Colombo, Emilio	M	1920	
ParlaMint-IT-en_2013-03-15-LEG17-Senato-sed-1	ParlaMint-IT_2013-03-15-LEG17-Senato-sed-1.ana.u19	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 1, Day (2013-03-15)	2013-03-15	Upper house	17 Legislatura	-	-	1 Seduta	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	ColomboEmilio	Colombo, Emilio	M	1920	
