Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT-en_2013-04-29-LEG17-Senato-sed-16	ParlaMint-IT_2013-04-29-LEG17-Senato-sed-16.ana.u1	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 16, Day (2013-04-29)	2013-04-29	Upper house	17 Legislatura	-	-	16 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2013-04-29-LEG17-Senato-sed-16	ParlaMint-IT_2013-04-29-LEG17-Senato-sed-16.ana.u2	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 16, Day (2013-04-29)	2013-04-29	Upper house	17 Legislatura	-	-	16 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2013-04-29-LEG17-Senato-sed-16	ParlaMint-IT_2013-04-29-LEG17-Senato-sed-16.ana.u3	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 16, Day (2013-04-29)	2013-04-29	Upper house	17 Legislatura	-	-	16 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2013-04-29-LEG17-Senato-sed-16	ParlaMint-IT_2013-04-29-LEG17-Senato-sed-16.ana.u4	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 16, Day (2013-04-29)	2013-04-29	Upper house	17 Legislatura	-	-	16 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2013-04-29-LEG17-Senato-sed-16	ParlaMint-IT_2013-04-29-LEG17-Senato-sed-16.ana.u5	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 16, Day (2013-04-29)	2013-04-29	Upper house	17 Legislatura	-	-	16 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2013-04-29-LEG17-Senato-sed-16	ParlaMint-IT_2013-04-29-LEG17-Senato-sed-16.ana.u6	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 16, Day (2013-04-29)	2013-04-29	Upper house	17 Legislatura	-	-	16 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2013-04-29-LEG17-Senato-sed-16	ParlaMint-IT_2013-04-29-LEG17-Senato-sed-16.ana.u7	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 16, Day (2013-04-29)	2013-04-29	Upper house	17 Legislatura	-	-	16 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2013-04-29-LEG17-Senato-sed-16	ParlaMint-IT_2013-04-29-LEG17-Senato-sed-16.ana.u8	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 16, Day (2013-04-29)	2013-04-29	Upper house	17 Legislatura	-	-	16 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2013-04-29-LEG17-Senato-sed-16	ParlaMint-IT_2013-04-29-LEG17-Senato-sed-16.ana.u9	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 16, Day (2013-04-29)	2013-04-29	Upper house	17 Legislatura	-	-	16 Seduta	-	Reference	English	Guest	MP	notMinister	-	-	-	-	LettaEnrico	Letta, Enrico	M	1966	
ParlaMint-IT-en_2013-04-29-LEG17-Senato-sed-16	ParlaMint-IT_2013-04-29-LEG17-Senato-sed-16.ana.u10	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 16, Day (2013-04-29)	2013-04-29	Upper house	17 Legislatura	-	-	16 Seduta	-	Reference	English	Chairperson	MP	notMinister	PD	Partito Democratico	Coalition	Centre-left	GrassoPietro	Grasso, Pietro	M	1945	
ParlaMint-IT-en_2013-04-29-LEG17-Senato-sed-16	ParlaMint-IT_2013-04-29-LEG17-Senato-sed-16.ana.u11	Report of the session of the Senate of the Italian Republic, Term 17, Sitting 16, Day (2013-04-29)	2013-04-29	Upper house	17 Legislatura	-	-	16 Seduta	-	Reference	English	Regular	MP	notMinister	M5S.1	Movimento 5 Stelle	Opposition	Big tent	MoroneseVilma	Moronese, Vilma	F	1971	
