Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2021-04-21-027-XXVII-NRSITZ-00098	ParlaMint-AT_2021-04-21-027-XXVII-NRSITZ-00098_d7e390	Sitting Number 98, Legislative period XXVII, Wednesday, 21. April 2021	2021-04-21	Lower house	Legislative period XXVII	-	-	Sitting 98	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2021-04-21-027-XXVII-NRSITZ-00098	ParlaMint-AT_2021-04-21-027-XXVII-NRSITZ-00098_d7e445	Sitting Number 98, Legislative period XXVII, Wednesday, 21. April 2021	2021-04-21	Lower house	Legislative period XXVII	-	-	Sitting 98	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2021-04-21-027-XXVII-NRSITZ-00098	ParlaMint-AT_2021-04-21-027-XXVII-NRSITZ-00098_d7e926	Sitting Number 98, Legislative period XXVII, Wednesday, 21. April 2021	2021-04-21	Lower house	Legislative period XXVII	-	-	Sitting 98	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
