Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2021-05-17-027-XXVII-NRSITZ-00104	ParlaMint-AT_2021-05-17-027-XXVII-NRSITZ-00104_d7e617	Sitting Number 104, Legislative period XXVII, Monday, 17. May 2021	2021-05-17	Lower house	Legislative period XXVII	-	-	Sitting 104	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2021-05-17-027-XXVII-NRSITZ-00104	ParlaMint-AT_2021-05-17-027-XXVII-NRSITZ-00104_d7e704	Sitting Number 104, Legislative period XXVII, Monday, 17. May 2021	2021-05-17	Lower house	Legislative period XXVII	-	-	Sitting 104	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2021-05-17-027-XXVII-NRSITZ-00104	ParlaMint-AT_2021-05-17-027-XXVII-NRSITZ-00104_d7e835	Sitting Number 104, Legislative period XXVII, Monday, 17. May 2021	2021-05-17	Lower house	Legislative period XXVII	-	-	Sitting 104	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
