Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2021-05-20-027-XXVII-NRSITZ-00108	ParlaMint-AT_2021-05-20-027-XXVII-NRSITZ-00108_d7e553	Sitting Number 108, Legislative period XXVII, Thursday, 20. May 2021	2021-05-20	Lower house	Legislative period XXVII	-	-	Sitting 108	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2021-05-20-027-XXVII-NRSITZ-00108	ParlaMint-AT_2021-05-20-027-XXVII-NRSITZ-00108_d7e608	Sitting Number 108, Legislative period XXVII, Thursday, 20. May 2021	2021-05-20	Lower house	Legislative period XXVII	-	-	Sitting 108	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2021-05-20-027-XXVII-NRSITZ-00108	ParlaMint-AT_2021-05-20-027-XXVII-NRSITZ-00108_d7e1162	Sitting Number 108, Legislative period XXVII, Thursday, 20. May 2021	2021-05-20	Lower house	Legislative period XXVII	-	-	Sitting 108	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2021-05-20-027-XXVII-NRSITZ-00108	ParlaMint-AT_2021-05-20-027-XXVII-NRSITZ-00108_d7e1199	Sitting Number 108, Legislative period XXVII, Thursday, 20. May 2021	2021-05-20	Lower house	Legislative period XXVII	-	-	Sitting 108	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
