Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2021-03-08-027-XXVII-NRSITZ-00088	ParlaMint-AT_2021-03-08-027-XXVII-NRSITZ-00088_d7e381	Sitting Number 88, Legislative period XXVII, Monday, 8. March 2021	2021-03-08	Lower house	Legislative period XXVII	-	-	Sitting 88	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2021-03-08-027-XXVII-NRSITZ-00088	ParlaMint-AT_2021-03-08-027-XXVII-NRSITZ-00088_d7e446	Sitting Number 88, Legislative period XXVII, Monday, 8. March 2021	2021-03-08	Lower house	Legislative period XXVII	-	-	Sitting 88	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2021-03-08-027-XXVII-NRSITZ-00088	ParlaMint-AT_2021-03-08-027-XXVII-NRSITZ-00088_d7e699	Sitting Number 88, Legislative period XXVII, Monday, 8. March 2021	2021-03-08	Lower house	Legislative period XXVII	-	-	Sitting 88	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2021-03-08-027-XXVII-NRSITZ-00088	ParlaMint-AT_2021-03-08-027-XXVII-NRSITZ-00088_d7e749	Sitting Number 88, Legislative period XXVII, Monday, 8. March 2021	2021-03-08	Lower house	Legislative period XXVII	-	-	Sitting 88	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2021-03-08-027-XXVII-NRSITZ-00088	ParlaMint-AT_2021-03-08-027-XXVII-NRSITZ-00088_d7e782	Sitting Number 88, Legislative period XXVII, Monday, 8. March 2021	2021-03-08	Lower house	Legislative period XXVII	-	-	Sitting 88	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
