Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2021-02-04-027-XXVII-NRSITZ-00082	ParlaMint-AT_2021-02-04-027-XXVII-NRSITZ-00082_d7e422	Sitting Number 82, Legislative period XXVII, Thursday, 4. February 2021	2021-02-04	Lower house	Legislative period XXVII	-	-	Sitting 82	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2021-02-04-027-XXVII-NRSITZ-00082	ParlaMint-AT_2021-02-04-027-XXVII-NRSITZ-00082_d7e477	Sitting Number 82, Legislative period XXVII, Thursday, 4. February 2021	2021-02-04	Lower house	Legislative period XXVII	-	-	Sitting 82	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2021-02-04-027-XXVII-NRSITZ-00082	ParlaMint-AT_2021-02-04-027-XXVII-NRSITZ-00082_d7e647	Sitting Number 82, Legislative period XXVII, Thursday, 4. February 2021	2021-02-04	Lower house	Legislative period XXVII	-	-	Sitting 82	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2021-02-04-027-XXVII-NRSITZ-00082	ParlaMint-AT_2021-02-04-027-XXVII-NRSITZ-00082_d7e680	Sitting Number 82, Legislative period XXVII, Thursday, 4. February 2021	2021-02-04	Lower house	Legislative period XXVII	-	-	Sitting 82	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
