Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2021-01-20-027-XXVII-NRSITZ-00080	ParlaMint-AT_2021-01-20-027-XXVII-NRSITZ-00080_d7e514	Sitting Number 80, Legislative period XXVII, Wednesday, 20. January 2021	2021-01-20	Lower house	Legislative period XXVII	-	-	Sitting 80	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2021-01-20-027-XXVII-NRSITZ-00080	ParlaMint-AT_2021-01-20-027-XXVII-NRSITZ-00080_d7e553	Sitting Number 80, Legislative period XXVII, Wednesday, 20. January 2021	2021-01-20	Lower house	Legislative period XXVII	-	-	Sitting 80	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2021-01-20-027-XXVII-NRSITZ-00080	ParlaMint-AT_2021-01-20-027-XXVII-NRSITZ-00080_d7e971	Sitting Number 80, Legislative period XXVII, Wednesday, 20. January 2021	2021-01-20	Lower house	Legislative period XXVII	-	-	Sitting 80	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2021-01-20-027-XXVII-NRSITZ-00080	ParlaMint-AT_2021-01-20-027-XXVII-NRSITZ-00080_d7e996	Sitting Number 80, Legislative period XXVII, Wednesday, 20. January 2021	2021-01-20	Lower house	Legislative period XXVII	-	-	Sitting 80	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2021-01-20-027-XXVII-NRSITZ-00080	ParlaMint-AT_2021-01-20-027-XXVII-NRSITZ-00080_d7e1029	Sitting Number 80, Legislative period XXVII, Wednesday, 20. January 2021	2021-01-20	Lower house	Legislative period XXVII	-	-	Sitting 80	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
