Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2021-04-09-027-XXVII-NRSITZ-00096	ParlaMint-AT_2021-04-09-027-XXVII-NRSITZ-00096_d7e621	Sitting Number 96, Legislative period XXVII, Friday, 9. April 2021	2021-04-09	Lower house	Legislative period XXVII	-	-	Sitting 96	-	COVID	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2021-04-09-027-XXVII-NRSITZ-00096	ParlaMint-AT_2021-04-09-027-XXVII-NRSITZ-00096_d7e695	Sitting Number 96, Legislative period XXVII, Friday, 9. April 2021	2021-04-09	Lower house	Legislative period XXVII	-	-	Sitting 96	-	COVID	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2021-04-09-027-XXVII-NRSITZ-00096	ParlaMint-AT_2021-04-09-027-XXVII-NRSITZ-00096_d7e875	Sitting Number 96, Legislative period XXVII, Friday, 9. April 2021	2021-04-09	Lower house	Legislative period XXVII	-	-	Sitting 96	-	COVID	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
