Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2021-05-26-027-XXVII-NRSITZ-00110	ParlaMint-AT_2021-05-26-027-XXVII-NRSITZ-00110_d7e411	Sitting Number 110, Legislative period XXVII, Wednesday, 26. May 2021	2021-05-26	Lower house	Legislative period XXVII	-	-	Sitting 110	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2021-05-26-027-XXVII-NRSITZ-00110	ParlaMint-AT_2021-05-26-027-XXVII-NRSITZ-00110_d7e507	Sitting Number 110, Legislative period XXVII, Wednesday, 26. May 2021	2021-05-26	Lower house	Legislative period XXVII	-	-	Sitting 110	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2021-05-26-027-XXVII-NRSITZ-00110	ParlaMint-AT_2021-05-26-027-XXVII-NRSITZ-00110_d7e665	Sitting Number 110, Legislative period XXVII, Wednesday, 26. May 2021	2021-05-26	Lower house	Legislative period XXVII	-	-	Sitting 110	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
