Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2021-12-16-027-XXVII-NRSITZ-00138	ParlaMint-AT_2021-12-16-027-XXVII-NRSITZ-00138_d7e417	Sitting Number 138, Legislative period XXVII, Thursday, 16. December 2021	2021-12-16	Lower house	Legislative period XXVII	-	-	Sitting 138	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2021-12-16-027-XXVII-NRSITZ-00138	ParlaMint-AT_2021-12-16-027-XXVII-NRSITZ-00138_d7e460	Sitting Number 138, Legislative period XXVII, Thursday, 16. December 2021	2021-12-16	Lower house	Legislative period XXVII	-	-	Sitting 138	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2021-12-16-027-XXVII-NRSITZ-00138	ParlaMint-AT_2021-12-16-027-XXVII-NRSITZ-00138_d7e903	Sitting Number 138, Legislative period XXVII, Thursday, 16. December 2021	2021-12-16	Lower house	Legislative period XXVII	-	-	Sitting 138	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
