Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2021-03-25-027-XXVII-NRSITZ-00092	ParlaMint-AT_2021-03-25-027-XXVII-NRSITZ-00092_d7e420	Sitting Number 92, Legislative period XXVII, Thursday, 25. March 2021	2021-03-25	Lower house	Legislative period XXVII	-	-	Sitting 92	-	COVID	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2021-03-25-027-XXVII-NRSITZ-00092	ParlaMint-AT_2021-03-25-027-XXVII-NRSITZ-00092_d7e469	Sitting Number 92, Legislative period XXVII, Thursday, 25. March 2021	2021-03-25	Lower house	Legislative period XXVII	-	-	Sitting 92	-	COVID	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2021-03-25-027-XXVII-NRSITZ-00092	ParlaMint-AT_2021-03-25-027-XXVII-NRSITZ-00092_d7e658	Sitting Number 92, Legislative period XXVII, Thursday, 25. March 2021	2021-03-25	Lower house	Legislative period XXVII	-	-	Sitting 92	-	COVID	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
