Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2021-10-13-027-XXVII-NRSITZ-00126	ParlaMint-AT_2021-10-13-027-XXVII-NRSITZ-00126_d7e409	Sitting Number 126, Legislative period XXVII, Wednesday, 13. October 2021	2021-10-13	Lower house	Legislative period XXVII	-	-	Sitting 126	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2021-10-13-027-XXVII-NRSITZ-00126	ParlaMint-AT_2021-10-13-027-XXVII-NRSITZ-00126_d7e461	Sitting Number 126, Legislative period XXVII, Wednesday, 13. October 2021	2021-10-13	Lower house	Legislative period XXVII	-	-	Sitting 126	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2021-10-13-027-XXVII-NRSITZ-00126	ParlaMint-AT_2021-10-13-027-XXVII-NRSITZ-00126_d7e865	Sitting Number 126, Legislative period XXVII, Wednesday, 13. October 2021	2021-10-13	Lower house	Legislative period XXVII	-	-	Sitting 126	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
