Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2021-07-19-027-XXVII-NRSITZ-00120	ParlaMint-AT_2021-07-19-027-XXVII-NRSITZ-00120_d7e700	Sitting Number 120, Legislative period XXVII, Monday, 19. July 2021	2021-07-19	Lower house	Legislative period XXVII	-	-	Sitting 120	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2021-07-19-027-XXVII-NRSITZ-00120	ParlaMint-AT_2021-07-19-027-XXVII-NRSITZ-00120_d7e822	Sitting Number 120, Legislative period XXVII, Monday, 19. July 2021	2021-07-19	Lower house	Legislative period XXVII	-	-	Sitting 120	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2021-07-19-027-XXVII-NRSITZ-00120	ParlaMint-AT_2021-07-19-027-XXVII-NRSITZ-00120_d7e907	Sitting Number 120, Legislative period XXVII, Monday, 19. July 2021	2021-07-19	Lower house	Legislative period XXVII	-	-	Sitting 120	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2021-07-19-027-XXVII-NRSITZ-00120	ParlaMint-AT_2021-07-19-027-XXVII-NRSITZ-00120_d7e937	Sitting Number 120, Legislative period XXVII, Monday, 19. July 2021	2021-07-19	Lower house	Legislative period XXVII	-	-	Sitting 120	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2021-07-19-027-XXVII-NRSITZ-00120	ParlaMint-AT_2021-07-19-027-XXVII-NRSITZ-00120_d7e967	Sitting Number 120, Legislative period XXVII, Monday, 19. July 2021	2021-07-19	Lower house	Legislative period XXVII	-	-	Sitting 120	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
