Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2021-07-08-027-XXVII-NRSITZ-00118	ParlaMint-AT_2021-07-08-027-XXVII-NRSITZ-00118_d7e511	Sitting Number 118, Legislative period XXVII, Thursday, 8. July 2021	2021-07-08	Lower house	Legislative period XXVII	-	-	Sitting 118	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2021-07-08-027-XXVII-NRSITZ-00118	ParlaMint-AT_2021-07-08-027-XXVII-NRSITZ-00118_d7e592	Sitting Number 118, Legislative period XXVII, Thursday, 8. July 2021	2021-07-08	Lower house	Legislative period XXVII	-	-	Sitting 118	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2021-07-08-027-XXVII-NRSITZ-00118	ParlaMint-AT_2021-07-08-027-XXVII-NRSITZ-00118_d7e959	Sitting Number 118, Legislative period XXVII, Thursday, 8. July 2021	2021-07-08	Lower house	Legislative period XXVII	-	-	Sitting 118	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2021-07-08-027-XXVII-NRSITZ-00118	ParlaMint-AT_2021-07-08-027-XXVII-NRSITZ-00118_d7e989	Sitting Number 118, Legislative period XXVII, Thursday, 8. July 2021	2021-07-08	Lower house	Legislative period XXVII	-	-	Sitting 118	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2021-07-08-027-XXVII-NRSITZ-00118	ParlaMint-AT_2021-07-08-027-XXVII-NRSITZ-00118_d7e1031	Sitting Number 118, Legislative period XXVII, Thursday, 8. July 2021	2021-07-08	Lower house	Legislative period XXVII	-	-	Sitting 118	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2021-07-08-027-XXVII-NRSITZ-00118	ParlaMint-AT_2021-07-08-027-XXVII-NRSITZ-00118_d7e1061	Sitting Number 118, Legislative period XXVII, Thursday, 8. July 2021	2021-07-08	Lower house	Legislative period XXVII	-	-	Sitting 118	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
