Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2021-01-14-027-XXVII-NRSITZ-00078	ParlaMint-AT_2021-01-14-027-XXVII-NRSITZ-00078_d7e398	Sitting Number 78, Legislative period XXVII, Thursday, 14. January 2021	2021-01-14	Lower house	Legislative period XXVII	-	-	Sitting 78	-	COVID	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2021-01-14-027-XXVII-NRSITZ-00078	ParlaMint-AT_2021-01-14-027-XXVII-NRSITZ-00078_d7e448	Sitting Number 78, Legislative period XXVII, Thursday, 14. January 2021	2021-01-14	Lower house	Legislative period XXVII	-	-	Sitting 78	-	COVID	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2021-01-14-027-XXVII-NRSITZ-00078	ParlaMint-AT_2021-01-14-027-XXVII-NRSITZ-00078_d7e569	Sitting Number 78, Legislative period XXVII, Thursday, 14. January 2021	2021-01-14	Lower house	Legislative period XXVII	-	-	Sitting 78	-	COVID	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
