Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2021-12-09-027-XXVII-NRSITZ-00134	ParlaMint-AT_2021-12-09-027-XXVII-NRSITZ-00134_d7e341	Sitting Number 134, Legislative period XXVII, Thursday, 9. December 2021	2021-12-09	Lower house	Legislative period XXVII	-	-	Sitting 134	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2021-12-09-027-XXVII-NRSITZ-00134	ParlaMint-AT_2021-12-09-027-XXVII-NRSITZ-00134_d7e396	Sitting Number 134, Legislative period XXVII, Thursday, 9. December 2021	2021-12-09	Lower house	Legislative period XXVII	-	-	Sitting 134	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2021-12-09-027-XXVII-NRSITZ-00134	ParlaMint-AT_2021-12-09-027-XXVII-NRSITZ-00134_d7e454	Sitting Number 134, Legislative period XXVII, Thursday, 9. December 2021	2021-12-09	Lower house	Legislative period XXVII	-	-	Sitting 134	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
