Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2021-06-17-027-XXVII-NRSITZ-00114	ParlaMint-AT_2021-06-17-027-XXVII-NRSITZ-00114_d7e405	Sitting Number 114, Legislative period XXVII, Thursday, 17. June 2021	2021-06-17	Lower house	Legislative period XXVII	-	-	Sitting 114	-	COVID	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2021-06-17-027-XXVII-NRSITZ-00114	ParlaMint-AT_2021-06-17-027-XXVII-NRSITZ-00114_d7e454	Sitting Number 114, Legislative period XXVII, Thursday, 17. June 2021	2021-06-17	Lower house	Legislative period XXVII	-	-	Sitting 114	-	COVID	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2021-06-17-027-XXVII-NRSITZ-00114	ParlaMint-AT_2021-06-17-027-XXVII-NRSITZ-00114_d7e899	Sitting Number 114, Legislative period XXVII, Thursday, 17. June 2021	2021-06-17	Lower house	Legislative period XXVII	-	-	Sitting 114	-	COVID	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
