Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2021-11-19-027-XXVII-NRSITZ-00132	ParlaMint-AT_2021-11-19-027-XXVII-NRSITZ-00132_d7e423	Sitting Number 132, Legislative period XXVII, Friday, 19. November 2021	2021-11-19	Lower house	Legislative period XXVII	-	-	Sitting 132	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2021-11-19-027-XXVII-NRSITZ-00132	ParlaMint-AT_2021-11-19-027-XXVII-NRSITZ-00132_d7e485	Sitting Number 132, Legislative period XXVII, Friday, 19. November 2021	2021-11-19	Lower house	Legislative period XXVII	-	-	Sitting 132	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2021-11-19-027-XXVII-NRSITZ-00132	ParlaMint-AT_2021-11-19-027-XXVII-NRSITZ-00132_d7e1013	Sitting Number 132, Legislative period XXVII, Friday, 19. November 2021	2021-11-19	Lower house	Legislative period XXVII	-	-	Sitting 132	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
