Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2021-09-22-027-XXVII-NRSITZ-00122	ParlaMint-AT_2021-09-22-027-XXVII-NRSITZ-00122_d7e417	Sitting Number 122, Legislative period XXVII, Wednesday, 22. September 2021	2021-09-22	Lower house	Legislative period XXVII	-	-	Sitting 122	-	COVID	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2021-09-22-027-XXVII-NRSITZ-00122	ParlaMint-AT_2021-09-22-027-XXVII-NRSITZ-00122_d7e472	Sitting Number 122, Legislative period XXVII, Wednesday, 22. September 2021	2021-09-22	Lower house	Legislative period XXVII	-	-	Sitting 122	-	COVID	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
ParlaMint-AT-en_2021-09-22-027-XXVII-NRSITZ-00122	ParlaMint-AT_2021-09-22-027-XXVII-NRSITZ-00122_d7e1248	Sitting Number 122, Legislative period XXVII, Wednesday, 22. September 2021	2021-09-22	Lower house	Legislative period XXVII	-	-	Sitting 122	-	COVID	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_35521	Hofer, Norbert	M	1971	
