Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2021-03-24-027-XXVII-NRSITZ-00090	ParlaMint-AT_2021-03-24-027-XXVII-NRSITZ-00090_d7e396	Sitting Number 90, Legislative period XXVII, Wednesday, 24. March 2021	2021-03-24	Lower house	Legislative period XXVII	-	-	Sitting 90	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2021-03-24-027-XXVII-NRSITZ-00090	ParlaMint-AT_2021-03-24-027-XXVII-NRSITZ-00090_d7e445	Sitting Number 90, Legislative period XXVII, Wednesday, 24. March 2021	2021-03-24	Lower house	Legislative period XXVII	-	-	Sitting 90	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2021-03-24-027-XXVII-NRSITZ-00090	ParlaMint-AT_2021-03-24-027-XXVII-NRSITZ-00090_d7e845	Sitting Number 90, Legislative period XXVII, Wednesday, 24. March 2021	2021-03-24	Lower house	Legislative period XXVII	-	-	Sitting 90	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
