Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2021-07-07-027-XXVII-NRSITZ-00116	ParlaMint-AT_2021-07-07-027-XXVII-NRSITZ-00116_d7e499	Sitting Number 116, Legislative period XXVII, Wednesday, 7. July 2021	2021-07-07	Lower house	Legislative period XXVII	-	-	Sitting 116	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2021-07-07-027-XXVII-NRSITZ-00116	ParlaMint-AT_2021-07-07-027-XXVII-NRSITZ-00116_d7e576	Sitting Number 116, Legislative period XXVII, Wednesday, 7. July 2021	2021-07-07	Lower house	Legislative period XXVII	-	-	Sitting 116	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2021-07-07-027-XXVII-NRSITZ-00116	ParlaMint-AT_2021-07-07-027-XXVII-NRSITZ-00116_d7e922	Sitting Number 116, Legislative period XXVII, Wednesday, 7. July 2021	2021-07-07	Lower house	Legislative period XXVII	-	-	Sitting 116	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
