Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2021-04-22-027-XXVII-NRSITZ-00100	ParlaMint-AT_2021-04-22-027-XXVII-NRSITZ-00100_d7e508	Sitting Number 100, Legislative period XXVII, Thursday, 22. April 2021	2021-04-22	Lower house	Legislative period XXVII	-	-	Sitting 100	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2021-04-22-027-XXVII-NRSITZ-00100	ParlaMint-AT_2021-04-22-027-XXVII-NRSITZ-00100_d7e563	Sitting Number 100, Legislative period XXVII, Thursday, 22. April 2021	2021-04-22	Lower house	Legislative period XXVII	-	-	Sitting 100	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2021-04-22-027-XXVII-NRSITZ-00100	ParlaMint-AT_2021-04-22-027-XXVII-NRSITZ-00100_d7e825	Sitting Number 100, Legislative period XXVII, Thursday, 22. April 2021	2021-04-22	Lower house	Legislative period XXVII	-	-	Sitting 100	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2021-04-22-027-XXVII-NRSITZ-00100	ParlaMint-AT_2021-04-22-027-XXVII-NRSITZ-00100_d7e853	Sitting Number 100, Legislative period XXVII, Thursday, 22. April 2021	2021-04-22	Lower house	Legislative period XXVII	-	-	Sitting 100	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2021-04-22-027-XXVII-NRSITZ-00100	ParlaMint-AT_2021-04-22-027-XXVII-NRSITZ-00100_d7e889	Sitting Number 100, Legislative period XXVII, Thursday, 22. April 2021	2021-04-22	Lower house	Legislative period XXVII	-	-	Sitting 100	-	COVID	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
