Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2021-05-19-027-XXVII-NRSITZ-00106	ParlaMint-AT_2021-05-19-027-XXVII-NRSITZ-00106_d7e527	Sitting Number 106, Legislative period XXVII, Wednesday, 19. May 2021	2021-05-19	Lower house	Legislative period XXVII	-	-	Sitting 106	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2021-05-19-027-XXVII-NRSITZ-00106	ParlaMint-AT_2021-05-19-027-XXVII-NRSITZ-00106_d7e573	Sitting Number 106, Legislative period XXVII, Wednesday, 19. May 2021	2021-05-19	Lower house	Legislative period XXVII	-	-	Sitting 106	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2021-05-19-027-XXVII-NRSITZ-00106	ParlaMint-AT_2021-05-19-027-XXVII-NRSITZ-00106_d7e1035	Sitting Number 106, Legislative period XXVII, Wednesday, 19. May 2021	2021-05-19	Lower house	Legislative period XXVII	-	-	Sitting 106	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
