Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2021-05-03-027-XXVII-NRSITZ-00102	ParlaMint-AT_2021-05-03-027-XXVII-NRSITZ-00102_d7e384	Sitting Number 102, Legislative period XXVII, Monday, 3. May 2021	2021-05-03	Lower house	Legislative period XXVII	-	-	Sitting 102	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2021-05-03-027-XXVII-NRSITZ-00102	ParlaMint-AT_2021-05-03-027-XXVII-NRSITZ-00102_d7e465	Sitting Number 102, Legislative period XXVII, Monday, 3. May 2021	2021-05-03	Lower house	Legislative period XXVII	-	-	Sitting 102	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
ParlaMint-AT-en_2021-05-03-027-XXVII-NRSITZ-00102	ParlaMint-AT_2021-05-03-027-XXVII-NRSITZ-00102_d7e636	Sitting Number 102, Legislative period XXVII, Monday, 3. May 2021	2021-05-03	Lower house	Legislative period XXVII	-	-	Sitting 102	-	COVID	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00145	Bures, Doris	F	1962	
